"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-13.6704610176046,-1.45542893633287,1386.30187027353,3.25987275930839,110.799623006768
0.5,37.05,-13.6753631422458,-1.45866389545671,1388.28744801051,3.26433458782257,110.831493209378
0.5,37.1,-13.6774945908546,-1.46226162381391,1390.27318108931,3.26879554801953,110.863374074486
0.5,37.15,-13.6767089135762,-1.46625483442886,1392.259068887,3.27325563929741,110.895265414108
0.5,37.2,-13.6728653456609,-1.47067800860771,1394.24511078258,3.27771486107679,110.92716704097
0.5,37.25,-13.6658289676584,-1.4755675212264,1396.23130615693,3.28217321280053,110.959078768505
0.5,37.3,-13.6554708380093,-1.48096177743307,1398.21765439282,3.28663069393367,110.991000410857
0.5,37.35,-13.6416680999705,-1.48690136191385,1400.20415487492,3.29108730396332,111.022931782881
0.5,37.4,-13.6243040647606,-1.49342920199722,1402.19080698981,3.29554304239854,111.054872700141
0.5,37.45,-13.6032682727902,-1.50059074601108,1404.17761012594,3.29999790877019,111.086822978916
0.5,37.5,-13.5784565348546,-1.50843415845978,1406.16456367366,3.30445190263079,111.118782436194
0.5,37.55,-13.5497709552301,-1.51701053375571,1408.15166702523,3.30890502355441,111.150750889679
0.5,37.6,-13.5171199387316,-1.52637413042339,1410.13891957478,3.31335727113649,111.182728157786
0.5,37.65,-13.4804181839696,-1.53658262789321,1412.12632071834,3.31780864499375,111.214714059647
0.5,37.7,-13.4395866652902,-1.54769740821721,1414.11386985384,3.32225914476399,111.246708415107
0.5,37.75,-13.394552606207,-1.55978386527137,1416.10156638109,3.32670877010594,111.278711044725
0.5,37.8,-13.3452494475273,-1.57291174425462,1418.08940970177,3.33115752069915,111.310721769778
0.5,37.85,-13.2916168138564,-1.5871555145543,1420.07739921949,3.33560539624379,111.342740412256
0.5,37.9,-13.2336004827299,-1.60259477931591,1422.06553433971,3.34005239646053,111.374766794869
0.5,37.95,-13.1711523612713,-1.61931472532577,1424.05381446978,3.34449852109034,111.406800741041
0.5,38,-13.1042304760213,-1.63740661708138,1426.04223901895,3.34894376989435,111.438842074912
0.5,38.05,-13.0327989824246,-1.65696833917077,1428.03080739834,3.35338814265371,111.470890621341
0.5,38.1,-12.956828201405,-1.67810499129273,1430.01951902095,3.35783163916938,111.502946205904
0.5,38.15,-12.8762946915101,-1.70092954039774,1432.00837330167,3.36227425926201,111.535008654894
0.5,38.2,-12.7911813662809,-1.72556353447931,1433.99736965726,3.36671600277175,111.56707779532
0.5,38.25,-12.7014776677887,-1.75213788244888,1435.98650750635,3.37115686955809,111.599153454913
0.5,38.3,-12.6071798087142,-1.78079370421698,1437.97578626945,3.37559685949968,111.631235462118
0.5,38.35,-12.5082910969074,-1.81168325448895,1439.96520536895,3.38003597249422,111.663323646099
0.5,38.4,-12.404822358088,-1.84497092274234,1441.9547642291,3.38447420845822,111.695417836739
0.5,38.45,-12.2967924742127,-1.88083431022032,1443.94446227603,3.38891156732687,111.727517864637
0.5,38.5,-12.1842290570619,-1.91946538232944,1445.93429893774,3.3933480490539,111.759623561111
0.5,38.55,-12.0671692787625,-1.96107169127482,1447.92427364408,3.39778365361136,111.791734758197
0.5,38.6,-11.9456608832501,-2.00587765870595,1449.91438582676,3.4022183809895,111.823851288648
0.5,38.65,-11.8197634050414,-2.05412590105563,1451.90463491939,3.40665223119659,111.855972985934
0.5,38.7,-11.6895496240645,-2.10607857043616,1453.8950203574,3.41108520425874,111.888099684245
0.5,38.75,-11.5551072875746,-2.16201867048891,1455.88554157809,3.41551730021977,111.920231218486
0.5,38.8,-11.4165411322152,-2.22225128825316,1457.87619802062,3.41994851914102,111.952367424278
0.5,38.85,-11.2739752408329,-2.287104658341,1459.866989126,3.42437886110121,111.984508137962
0.5,38.9,-11.1275557694126,-2.35693094241463,1461.8579143371,3.42880832619626,112.016653196594
0.5,38.95,-10.9774540790317,-2.43210656250206,1463.84897309862,3.43323691453916,112.048802437944
0.5,39,-10.8238703054658,-2.51303186767649,1465.84016485713,3.43766462625977,112.080955700502
0.5,39.05,-10.6670373942632,-2.60012983582748,1467.83148906102,3.4420914615047,112.11311282347
0.5,39.1,-10.5072256207727,-2.69384341049409,1469.82294516055,3.44651742043715,112.145273646767
0.5,39.15,-10.3447476015756,-2.79463094090501,1471.8145326078,3.45094250323673,112.177438011026
0.5,39.2,-10.1799637845691,-2.90295902467964,1473.80625085668,3.45536671009933,112.209605757595
0.5,39.25,-10.0132883779027,-3.0192918402654,1475.79809936296,3.45979004123698,112.241776728535
0.5,39.3,-9.8451956411983,-3.14407579475255,1477.79007758422,3.46421249687767,112.27395076662
0.5,39.35,-9.67622641406835,-3.27771800118862,1479.78218497988,3.4686340772652,112.306127715339
0.5,39.4,-9.50699469516162,-3.42055674646551,1481.7744210112,3.4730547826591,112.338307418891
0.5,39.45,-9.3381940086422,-3.57282174345845,1483.76678514123,3.47747461333438,112.370489722188
0.5,39.5,-9.17060320416604,-3.73458163997422,1485.75927683487,3.48189356958148,112.402674470852
0.5,39.55,-9.0050912330079,-3.90567609910173,1487.75189555883,3.48631165170606,112.434861511216
0.5,39.6,-8.84262033192672,-4.08562997644455,1489.74464078164,3.49072886002891,112.467050690325
0.5,39.65,-8.68424693664074,-4.27354803460666,1491.73751197364,3.49514519488578,112.49924185593
0.5,39.7,-8.53111955255871,-4.46799075703367,1493.73050860698,3.49956065662726,112.531434856493
0.5,39.75,-8.38447275162142,-4.66683582769365,1495.72363015562,3.50397524561863,112.563629541181
0.5,39.8,-8.24561646618418,-4.86713648488484,1497.71687609532,3.50838896223975,112.595825759872
0.5,39.85,-8.11591984284441,-5.06499776097304,1499.71024590365,3.51280180688489,112.628023363148
0.5,39.9,-7.99678912946956,-5.25550420501175,1501.70373905998,3.51721377996264,112.660222202296
0.5,39.95,-7.88963941858013,-5.43274565726632,1503.69735504546,3.52162488189576,112.69242212931
0.5,40,-7.79586056459852,-5.58999533646351,1505.69109334306,3.52603511312107,112.724622996886
0.5,40.05,-7.7167782102674,-5.72008764504182,1507.68495343752,3.53044447408929,112.756824658424
0.5,40.1,-7.65361154438518,-5.81601143130081,1509.67893481536,3.53485296526496,112.789026968027
0.5,40.15,-7.6074300798216,-5.87167396077016,1511.67303696492,3.5392605871263,112.821229780497
