"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-25.3138070791663,-0.728985255822334,1478.67038501358,4.08668192372819,43.8697688707353
0.5,37.05,-25.7592726718101,-0.711797572403337,1480.6679339878,4.09145948129378,43.8696728827158
0.5,37.1,-26.1969374832723,-0.695587190019386,1482.66548289217,4.09623654347267,43.8695769054013
0.5,37.15,-26.624905738813,-0.680319498098769,1484.66303172825,4.10101311120367,43.8694809389587
0.5,37.2,-27.0419429701909,-0.665960165301721,1486.66058049763,4.10578918542913,43.8693849835565
0.5,37.25,-27.4473076721618,-0.652475185494865,1488.65812920188,4.11056476709465,43.8692890393642
0.5,37.3,-27.8406195775199,-0.639830921164503,1490.65567784258,4.11533985714895,43.8691931065522
0.5,37.35,-28.2217586120272,-0.627994144252707,1492.65322642128,4.12011445654364,43.8690971852923
0.5,37.4,-28.5907884579998,-0.616932074416485,1494.65077493957,4.12488856623301,43.869001275757
0.5,37.45,-28.9478993157527,-0.606612414725166,1496.648323399,4.12966218717389,43.8689053781204
0.5,37.5,-29.2933653689653,-0.597003384824777,1498.64587180114,4.13443532032538,43.8688094925572
0.5,37.55,-29.627513372642,-0.588073751610335,1500.64342014755,4.1392079666487,43.8687136192433
0.5,37.6,-29.9506995825048,-0.579792857457656,1502.64096843978,4.143980127107,43.8686177583559
0.5,37.65,-30.2632929019302,-0.572130646075815,1504.6385166794,4.14875180266518,43.8685219100728
0.5,37.7,-30.5656626422891,-0.565057686049406,1506.63606486794,4.15352299428965,43.8684260745732
0.5,37.75,-30.8581696939943,-0.558545192146585,1508.63361300697,4.15829370294822,43.8683302520372
0.5,37.8,-31.141160211053,-0.552565044474458,1510.63116109802,4.16306392960985,43.8682344426459
0.5,37.85,-31.4149611422347,-0.54708980556791,1512.62870914265,4.16783367524451,43.8681386465813
0.5,37.9,-31.6798771146493,-0.542092735501228,1514.62625714239,4.17260294082296,43.8680428640266
0.5,37.95,-31.9361883046482,-0.537547805114321,1516.62380509879,4.17737172731663,43.8679470951659
