"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,57,-30.5521441901209,-0.605924931416751,2277.85733232657,6.07517799449988,43.6700494285098
0.5,57.05,-30.1391248426393,-0.613754505344865,2279.85504095648,6.07986835328268,43.669981196172
0.5,57.1,-29.7119911004217,-0.623087705071092,2281.85274994455,6.0845584383998,43.6699130908431
0.5,57.15,-29.2699570769091,-0.634249961714939,2283.85045929166,6.08924825022415,43.6698451128767
0.5,57.2,-28.8124324037491,-0.64764638083104,2285.84816899864,6.09393778912777,43.6697772626263
0.5,57.25,-28.3391753184061,-0.663779069148221,2287.84587906635,6.09862705548186,43.6697095404459
0.5,57.3,-27.8505252649946,-0.683264077826367,2289.84358949564,6.1033160496567,43.6696419466893
0.5,57.35,-27.3477509936307,-0.706842483921467,2291.84130028736,6.10800477202174,43.6695744817109
0.5,57.4,-26.8335612118117,-0.735373821548725,2293.83901144236,6.11269322294553,43.669507145865
0.5,57.45,-26.3128316144663,-0.769788788639982,2295.83672296149,6.11738140279579,43.6694399395062
0.5,57.5,-25.7935909625746,-0.810960299859658,2297.83443484558,6.12206931193935,43.6693728629894
0.5,57.55,-25.288250303156,-0.859429992002805,2299.83214709549,6.1267569507422,43.6693059166696
0.5,57.6,-24.8149024743937,-0.914917863636159,2301.82985971206,6.13144431956947,43.6692391009019
0.5,57.65,-24.3982074626905,-0.975594466657818,2303.82757269613,6.13613141878541,43.6691724160418
0.5,57.7,-24.0689362612301,-1.037293345574,2305.82528604854,6.14081824875346,43.6691058624448
0.5,57.75,-23.8609635120335,-1.09322165532464,2307.82299977014,6.14550480983619,43.6690394404666
0.5,57.8,-23.8050608255542,-1.13501495671818,2309.82071386176,6.15019110239531,43.6689731504633
0.5,57.85,-23.9207997592361,-1.15546561350562,2311.81842832425,6.1548771267917,43.668906992791
0.5,57.9,-24.2102609646155,-1.15166979676212,2313.81614315843,6.1595628833854,43.668840967806
0.5,57.95,-24.6573574574869,-1.12626501896952,2315.81385836515,6.16424837253561,43.6687750758648
0.5,58,-25.2332198752289,-1.08579237626578,2317.81157394525,6.16893359460068,43.6687093173242
0.5,58.05,-25.9042801294575,-1.03769342082696,2319.80928989955,6.17361854993813,43.668643692541
0.5,58.1,-26.6390567533129,-0.988039225910219,2321.80700622888,6.17830323890467,43.6685782018724
0.5,58.15,-27.4118062554764,-0.940746567001371,2323.80472293409,6.18298766185613,43.6685128456755
0.5,58.2,-28.2034021654086,-0.89782588915909,2325.80244001601,6.18767181914756,43.6684476243079
0.5,58.25,-29.0006322745457,-0.859981212979437,2327.80015747545,6.19235571113316,43.6683825381271
0.5,58.3,-29.7949291311304,-0.827163817091242,2329.79787531326,6.19703933816631,43.668317587491
0.5,58.35,-30.5811021313394,-0.798958015258798,2331.79559353026,6.20172270059958,43.6682527727575
0.5,58.4,-31.3562937691693,-0.774811298322163,2333.79331212727,6.20640579878471,43.6681880942849
0.5,58.45,-32.1191978660018,-0.754156496488637,2335.79103110513,6.21108863307263,43.6681235524315
0.5,58.5,-32.8695036744967,-0.736468940901736,2337.78875046465,6.21577120381344,43.6680591475557
0.5,58.55,-33.6075119116026,-0.721287978563699,2339.78647020667,6.22045351135645,43.6679948800163
0.5,58.6,-34.3338733308407,-0.708220474393028,2341.784190332,6.22513555605016,43.6679307501723
0.5,58.65,-35.0494111810469,-0.69693609996026,2343.78191084146,6.22981733824224,43.6678667583825
0.5,58.7,-35.7549993985176,-0.687159536337431,2345.77963173588,6.23449885827958,43.6678029050063
0.5,58.75,-36.4514767401855,-0.678662110488913,2347.77735301608,6.23918011650827,43.6677391904031
0.5,58.8,-37.1395831599462,-0.671253995805719,2349.77507468288,6.24386111327357,43.6676756149325
0.5,58.85,-37.8199089864936,-0.664777399141173,2351.77279673709,6.24854184891997,43.6676121789541
0.5,58.9,-38.4928503897536,-0.6591008142174,2353.77051917953,6.25322232379116,43.6675488828279
0.5,58.95,-39.1585666699045,-0.654114269194723,2355.76824201101,6.25790253823002,43.6674857269141
0.5,59,-39.8169364265499,-0.649725439865318,2357.76596523236,6.26258249257867,43.6674227115728
0.5,59.05,-40.467510955639,-0.64585648946605,2359.76368884438,6.26726218717842,43.6673598371645
0.5,59.1,-41.1094645238813,-0.642441505842101,2361.76141284788,6.27194162236979,43.6672971040498
0.5,59.15,-41.7415427015151,-0.639424423829769,2363.75913724369,6.27662079849254,43.6672345125895
0.5,59.2,-42.3620118784227,-0.63675733916691,2365.7568620326,6.28129971588562,43.6671720631444
0.5,59.25,-42.9686155625545,-0.63439913731722,2367.75458721543,6.28597837488722,43.6671097560758
0.5,59.3,-43.5585460364784,-0.632314375346327,2369.75231279299,6.29065677583475,43.6670475917448
0.5,59.35,-44.1284431328752,-0.630472367258813,2371.75003876609,6.29533491906484,43.6669855705129
0.5,59.4,-44.6744345677527,-0.628846433190848,2373.74776513553,6.30001280491335,43.6669236927416
0.5,59.45,-45.1922331936922,-0.627413280873679,2375.74549190211,6.30469043371537,43.6668619587928
0.5,59.5,-45.6773039979173,-0.626152494175772,2377.74321906665,6.30936780580522,43.6668003690283
0.5,59.55,-46.1251059587143,-0.625046108605486,2379.74094662994,6.31404492151646,43.6667389238102
0.5,59.6,-46.5314002275241,-0.624078257676008,2381.73867459279,6.31872178118188,43.6666776235007
0.5,59.65,-46.8925979836806,-0.623234877218467,2383.736402956,6.32339838513351,43.6666164684623
