"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-38.4124153433156,-0.375938434382045,1427.80331185953,4.21842649863637,41.0153598848425
0.5,37.05,-38.4936139736798,-0.376291106299391,1429.76208488465,4.22336996040856,41.0162018416631
0.5,37.1,-38.5783045601234,-0.376641793837037,1431.72088982523,4.22831277323355,41.0170437309492
0.5,37.15,-38.6665451907912,-0.376990612471102,1433.67972658439,4.23325493870461,41.0178855412391
0.5,37.2,-38.7583960878787,-0.37733767709352,1435.63859506569,4.2381964584174,41.0187272611514
0.5,37.25,-38.8539198359874,-0.37768310190199,1437.59749517317,4.24313733396978,41.0195688793852
0.5,37.3,-38.9531816241928,-0.378027000291954,1439.55642681133,4.24807756696158,41.0204103847198
0.5,37.35,-39.0562495022033,-0.378369484750625,1441.51538988511,4.25301715899439,41.0212517660146
0.5,37.4,-39.1631946510109,-0.37871066675321,1443.47438429995,4.25795611167132,41.0220930122089
0.5,37.45,-39.2740916684478,-0.379050656661351,1445.43340996172,4.26289442659684,41.0229341123217
0.5,37.5,-39.3890188700712,-0.379389563623888,1447.39246677676,4.2678321053765,41.0237750554516
0.5,37.55,-39.508058605801,-0.379727495479985,1449.35155465185,4.27276914961678,41.0246158307769
0.5,37.6,-39.6312975927185,-0.38006455866469,1451.31067349426,4.27770556092485,41.025456427555
0.5,37.65,-39.7588272643994,-0.380400858116956,1453.26982321168,4.28264134090838,41.0262968351224
0.5,37.7,-39.8907441370927,-0.380736497190213,1455.22900371227,4.28757649117533,41.0271370428947
0.5,37.75,-40.0271501929527,-0.381071577565462,1457.18821490465,4.29251101333374,41.0279770403663
0.5,37.8,-40.16815328038,-0.381406199167002,1459.14745669787,4.29744490899154,41.0288168171101
0.5,37.85,-40.3138675313027,-0.381740460080752,1461.10672900145,4.30237817975636,41.0296563627774
0.5,37.9,-40.4644137949187,-0.382074456475252,1463.06603172535,4.30731082723532,41.030495667098
0.5,37.95,-40.6199200869855,-0.382408282525298,1465.02536477998,4.31224285303484,41.0313347198794
0.5,38,-40.7805220531592,-0.382742030338299,1466.98472807619,4.31717425876043,41.0321735110072
0.5,38.05,-40.9463634440933,-0.383075789883315,1468.94412152529,4.32210504601654,41.0330120304446
0.5,38.1,-41.1175965989544,-0.383409648922788,1470.90354503903,4.32703521640633,41.0338502682323
0.5,38.15,-41.2943829326146,-0.383743692947023,1472.86299852959,4.3319647715315,41.034688214488
0.5,38.2,-41.4768934199377,-0.384078005111358,1474.82248190961,4.3368937129921,41.0355258594069
0.5,38.25,-41.665309068145,-0.384412666176049,1476.78199509215,4.34182204238637,41.0363631932606
0.5,38.3,-41.8598213650664,-0.384747754448888,1478.74153799074,4.34674976131049,41.0372002063975
0.5,38.35,-42.0606326869032,-0.3850833457305,1480.70111051932,4.35167687135848,41.0380368892424
0.5,38.4,-42.2679566436653,-0.385419513262369,1482.66071259229,4.35660337412198,41.0388732322962
0.5,38.45,-42.4820183332913,-0.385756327677536,1484.62034412445,4.36152927119006,41.0397092261359
0.5,38.5,-42.7030544660994,-0.386093856954,1486.58000503109,4.36645456414907,41.0405448614141
0.5,38.55,-42.9313133089695,-0.386432166370761,1488.53969522788,4.37137925458247,41.0413801288588
0.5,38.6,-43.167054382617,-0.386771318466549,1490.49941463096,4.37630334407062,41.0422150192735
0.5,38.65,-43.4105478243272,-0.387111373001192,1492.45916315687,4.38122683419064,41.0430495235365
0.5,38.7,-43.6620733010067,-0.3874523869196,1494.41894072262,4.38614972651624,41.0438836326009
0.5,38.75,-43.9219183213886,-0.387794414318394,1496.37874724561,4.39107202261755,41.0447173374945
0.5,38.8,-44.1903757490488,-0.388137506415112,1498.33858264369,4.39599372406092,41.0455506293192
0.5,38.85,-44.4677402561813,-0.388481711520038,1500.29844683514,4.40091483240882,41.0463834992509
0.5,38.9,-44.7543033774981,-0.388827075010562,1502.25833973863,4.4058353492196,41.0472159385396
0.5,38.95,-45.0503467187163,-0.389173639308155,1504.2182612733,4.41075527604742,41.0480479385084
0.5,39,-45.3561327381978,-0.389521443857846,1506.17821135869,4.41567461444198,41.0488794905541
0.5,39.05,-45.6718923455323,-0.389870525110277,1508.13818991476,4.42059336594846,41.0497105861462
0.5,39.1,-45.9978083385511,-0.390220916506245,1510.09819686189,4.42551153210732,41.0505412168271
0.5,39.15,-46.3339934221002,-0.390572648463793,1512.0582321209,4.43042911445412,41.0513713742116
0.5,39.2,-46.6804612124403,-0.390925748367775,1514.01829561299,4.43534611451942,41.0522010499869
0.5,39.25,-47.0370882328337,-0.391280240561945,1515.97838725982,4.44026253382859,41.053030235912
0.5,39.3,-47.4035644684616,-0.3916361463435,1517.93850698342,4.44517837390166,41.0538589238176
0.5,39.35,-47.7793296258752,-0.391993483960125,1519.89865470628,4.45009363625318,41.0546871056059
0.5,39.4,-48.1634919486675,-0.392352268609515,1521.85883035127,4.45500832239209,41.0555147732503
0.5,39.45,-48.5547264962512,-0.392712512441344,1523.81903384167,4.45992243382153,41.0563419187948
0.5,39.5,-48.9511505808093,-0.393074224561689,1525.77926510121,4.46483597203873,41.0571685343542
0.5,39.55,-49.3501761997967,-0.393437411039965,1527.73952405398,4.46974893853485,41.0579946121136
0.5,39.6,-49.7483437084002,-0.393802074918255,1529.69981062451,4.47466133479484,41.0588201443282
0.5,39.65,-50.1411487996063,-0.394168216223138,1531.66012473773,4.47957316229731,41.0596451233226
0.5,39.7,-50.5228871731831,-0.394535831979937,1533.62046631896,4.48448442251435,41.0604695414913
0.5,39.75,-50.8865582227033,-0.394904916229458,1535.58083529395,4.48939511691147,41.0612933912978
0.5,39.8,-51.223888229656,-0.395275460047148,1537.54123158883,4.49430524694736,41.0621166652743
0.5,39.85,-51.5255477086653,-0.395647451564735,1539.50165513014,4.49921481407386,41.0629393560218
0.5,39.9,-51.7816333019222,-0.396020875994303,1541.46210584483,4.50412381973574,41.0637614562096
0.5,39.95,-51.9824452038176,-0.396395715654835,1543.42258366024,4.5090322653706,41.064582958575
0.5,40,-52.1195071656996,-0.396771950001214,1545.3830885041,4.51394015240877,41.0654038559229
0.5,40.05,-52.1866630777144,-0.397149555655672,1547.34362030455,4.51884748227312,41.0662241411257
0.5,40.1,-52.1809920007156,-0.397528506441717,1549.30417899013,4.52375425637896,41.067043807123
0.5,40.15,-52.1032782220707,-0.397908773420504,1551.26476448976,4.52866047613393,41.067862846921
0.5,40.2,-51.9578865732805,-0.398290324929657,1553.22537673275,4.53356614293785,41.0686812535928
0.5,40.25,-51.752083590334,-0.398673126624579,1555.18601564882,4.53847125818259,41.0694990202772
0.5,40.3,-51.4950141145504,-0.399057141522198,1557.14668116807,4.54337582325196,41.0703161401794
0.5,40.35,-51.19660857014,-0.399442330047137,1559.10737322098,4.5482798395216,41.0711326065701
0.5,40.4,-50.8666483464482,-0.399828650080392,1561.06809173845,4.55318330835882,41.071948412785
0.5,40.45,-50.5141081204392,-0.40021605701036,1563.02883665172,4.55808623112251,41.0727635522253
0.5,40.5,-50.1467886807135,-0.400604503786404,1564.98960789245,4.56298860916302,41.0735780183565
0.5,40.55,-49.771187989154,-0.40099394097471,1566.95040539268,4.56789044382202,41.0743918047087
0.5,40.6,-49.3925350473356,-0.401384316816651,1568.91122908482,4.57279173643241,41.0752049048761
0.5,40.65,-49.0149163724808,-0.401775577289461,1570.87207890167,4.57769248831819,41.0760173125165
0.5,40.7,-48.6414423494668,-0.402167666169325,1572.83295477641,4.58259270079436,41.0768290213514
0.5,40.75,-48.2744195311655,-0.402560525096753,1574.79385664261,4.58749237516679,41.0776400251652
0.5,40.8,-47.9155101171103,-0.402954093644334,1576.75478443419,4.5923915127321,41.0784503178055
0.5,40.85,-47.5658702245897,-0.403348309386699,1578.71573808546,4.59729011477757,41.0792598931821
0.5,40.9,-47.2262648497823,-0.4037431079728,1580.67671753113,4.60218818258105,41.0800687452671
0.5,40.95,-46.8971607710771,-0.404138423200336,1582.63772270625,4.60708571741079,41.0808768680947
0.5,41,-46.5788001436088,-0.404534187092401,1584.59875354626,4.6119827205254,41.0816842557605
0.55,37,-43.2071354888342,-0.370655330125923,1428.05489719784,4.23752853373716,38.7304370028782
0.55,37.05,-43.3085157927552,-0.371019441009901,1430.01355283247,4.24248262201982,38.7308100330383
0.55,37.1,-43.4148125489202,-0.371383739477273,1431.97223848352,4.24743609531563,38.7311847514938
0.55,37.15,-43.5261619871208,-0.371748234218846,1433.93095407204,4.25238895522171,38.7315611431878
0.55,37.2,-43.6427067364625,-0.372112933909644,1435.88969951949,4.2573412033363,38.731939193156
0.55,37.25,-43.7645964235512,-0.372477847200162,1437.84847474769,4.26229284125855,38.7323188865261
0.55,37.3,-43.8919883245826,-0.372842982707824,1439.80727967882,4.26724387058827,38.7327002085173
0.55,37.35,-44.025048075241,-0.373208349008539,1441.76611423545,4.27219429292579,38.7330831444398
0.55,37.4,-44.1639504424825,-0.373573954628468,1443.72497834054,4.27714410987165,38.7334676796943
0.55,37.45,-44.3088801623935,-0.373939808035935,1445.6838719174,4.28209332302645,38.7338537997715
0.55,37.5,-44.4600328483439,-0.374305917633526,1447.64279488971,4.28704193399064,38.7342414902517
0.55,37.55,-44.617615973549,-0.374672291750369,1449.60174718155,4.29198994436426,38.7346307368041
0.55,37.6,-44.7818499318434,-0.375038938634609,1451.56072871734,4.2969373557468,38.7350215251865
0.55,37.65,-44.9529691798717,-0.375405866446067,1453.5197394219,4.30188416973693,38.7354138412448
0.55,37.7,-45.1312234628626,-0.375773083249095,1455.4787792204,4.30683038793237,38.7358076709123
0.55,37.75,-45.3168791245173,-0.376140597005664,1457.43784803837,4.3117760119296,38.7362030002094
0.55,37.8,-45.5102204990295,-0.376508415568601,1459.39694580175,4.31672104332375,38.7365998152434
0.55,37.85,-45.7115513795229,-0.376876546675097,1461.35607243681,4.32166548370834,38.7369981022072
0.55,37.9,-45.9211965517396,-0.377244997940385,1463.3152278702,4.32660933467511,38.7373978473797
0.55,37.95,-46.1395033739315,-0.377613776851638,1465.27441202893,4.33155259781382,38.7377990371248
0.55,38,-46.3668433726346,-0.377982890762104,1467.2336248404,4.33649527471206,38.7382016578913
0.55,38.05,-46.6036138079495,-0.378352346885432,1469.19286623234,4.34143736695506,38.738605696212
0.55,38.1,-46.8502391391843,-0.378722152290229,1471.15213613288,4.3463788761255,38.7390111387034
0.55,38.15,-47.1071722894835,-0.379092313894837,1473.11143447047,4.35131980380332,38.7394179720655
0.55,38.2,-47.3748955625084,-0.379462838462332,1475.07076117398,4.35626015156555,38.7398261830811
0.55,38.25,-47.6539209998227,-0.379833732595715,1477.03011617259,4.36119992098609,38.7402357586152
0.55,38.3,-47.9447898765772,-0.380205002733387,1478.98949939586,4.36613911363559,38.7406466856148
0.55,38.35,-48.2480709042512,-0.380576655144761,1480.94891077373,4.3710777310812,38.7410589511083
0.55,38.4,-48.5643565268337,-0.380948695926163,1482.90835023647,4.37601577488644,38.7414725422053
0.55,38.45,-48.8942564385997,-0.381321130996904,1484.86781771472,4.38095324661102,38.7418874460956
0.55,38.5,-49.2383870861834,-0.381693966095614,1486.82731313949,4.38589014781062,38.7423036500495
0.55,38.55,-49.5973554014057,-0.382067206776748,1488.78683644213,4.39082648003679,38.7427211414164
0.55,38.6,-49.9717342849268,-0.382440858407336,1490.74638755436,4.39576224483671,38.7431399076255
0.55,38.65,-50.3620263461735,-0.382814926163934,1492.70596640825,4.40069744375306,38.7435599361844
0.55,38.7,-50.7686110054452,-0.383189415029813,1494.66557293622,4.40563207832385,38.7439812146791
0.55,38.75,-51.1916681739308,-0.383564329792315,1496.62520707104,4.41056615008222,38.7444037307734
0.55,38.8,-51.6310692642128,-0.383939675040461,1498.58486874587,4.41549966055633,38.7448274722087
0.55,38.85,-52.0862232717186,-0.384315455162753,1500.54455789417,4.42043261126914,38.7452524268033
0.55,38.9,-52.5558624230056,-0.384691674345172,1502.50427444978,4.42536500373828,38.7456785824522
0.55,38.95,-53.0377493983176,-0.385068336569395,1504.4640183469,4.4302968394759,38.7461059271264
0.55,39,-53.5282887635695,-0.385445445611217,1506.42378952006,4.43522811998847,38.7465344488726
0.55,39.05,-54.0220338354085,-0.385823005039165,1508.38358790415,4.44015884677666,38.746964135813
0.55,39.1,-54.5111053894909,-0.386201018213309,1510.3434134344,4.44508902133517,38.7473949761445
0.55,39.15,-54.9845930544035,-0.386579488284301,1512.30326604639,4.45001864515258,38.7478269581385
0.55,39.2,-55.4281059608378,-0.386958418192564,1514.26314567607,4.45494771971119,38.7482600701405
0.55,39.25,-55.8237712427991,-0.387337810667722,1516.22305225969,4.45987624648688,38.7486943005694
0.55,39.3,-56.1510919647028,-0.387717668228193,1518.18298573388,4.46480422694894,38.7491296379176
0.55,39.35,-56.389032497207,-0.388097993180979,1520.14294603561,4.46973166255997,38.74956607075
0.55,39.4,-56.5193218072144,-0.388478787621672,1522.10293310218,4.47465855477565,38.7500035877042
0.55,39.45,-56.530239392806,-0.388860053434606,1524.06294687124,4.47958490504468,38.7504421774894
0.55,39.5,-56.4194785884073,-0.389241792293238,1526.02298728079,4.4845107148086,38.7508818288867
0.55,39.55,-56.1947498448758,-0.389624005660683,1527.98305426915,4.48943598550163,38.7513225307481
0.55,39.6,-55.8718172437213,-0.390006694790456,1529.943147775,4.49436071855056,38.7517642719966
0.55,39.65,-55.4709357736213,-0.390389860727386,1531.90326773735,4.49928491537458,38.7522070416253
0.55,39.7,-55.013189520759,-0.390773504308716,1533.86341409554,4.5042085773852,38.7526508286974
0.55,39.75,-54.5178166723451,-0.391157626165375,1535.82358678926,4.50913170598602,38.7530956223457
0.55,39.8,-54.0008288330334,-0.391542226723453,1537.78378575853,4.51405430257269,38.7535414117721
0.55,39.85,-53.4746779536888,-0.391927306205823,1539.74401094372,4.51897636853272,38.7539881862473
0.55,39.9,-52.9485484675187,-0.392312864633968,1541.7042622855,4.52389790524535,38.7544359351103
0.55,39.95,-52.4289163799603,-0.392698901829959,1543.6645397249,4.52881891408145,38.7548846477683
0.55,40,-51.9201518515094,-0.393085417418633,1545.62484320329,4.53373939640336,38.755334313696
0.55,40.05,-51.4250566484158,-0.393472410829924,1547.58517266235,4.53865935356477,38.7557849224352
0.55,40.1,-50.9452999026265,-0.393859881301372,1549.54552804409,4.5435787869106,38.7562364635948
0.55,40.15,-50.4817523035195,-0.394247827880815,1551.50590929087,4.54849769777687,38.75668892685
0.55,40.2,-50.0347336048534,-0.394636249429226,1553.46631634537,4.55341608749058,38.7571423019421
0.55,40.25,-49.6041917591244,-0.395025144623748,1555.42674915059,4.55833395736956,38.7575965786781
0.55,40.3,-49.1898305015845,-0.395414511960864,1557.38720764986,4.56325130872239,38.7580517469305
0.55,40.35,-48.7911991196431,-0.395804349759762,1559.34769178685,4.56816814284825,38.7585077966366
0.55,40.4,-48.4077549584188,-0.396194656165851,1561.30820150553,4.57308446103683,38.7589647177983
0.55,40.45,-48.0389064872621,-0.396585429154414,1563.26873675022,4.57800026456815,38.7594225004819
0.55,40.5,-47.6840426093616,-0.39697666653448,1565.22929746555,4.58291555471253,38.7598811348173
0.55,40.55,-47.3425522879685,-0.397368365952787,1567.18988359647,4.58783033273041,38.7603406109981
0.55,40.6,-47.0138373869817,-0.397760524897963,1569.15049508827,4.59274459987224,38.760800919281
0.55,40.65,-46.6973207777662,-0.398153140704796,1571.11113188652,4.59765835737841,38.7612620499854
0.55,40.7,-46.3924511612197,-0.398546210558729,1573.07179393716,4.60257160647909,38.7617239934932
0.55,40.75,-46.0987056267253,-0.398939731500426,1575.03248118642,4.60748434839415,38.7621867402482
0.55,40.8,-45.8155906674467,-0.399333700430552,1576.99319358085,4.61239658433303,38.7626502807563
