D [mm],coax_inside [mm],QCOAX_D [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.3,0.65,37,-5.111970192,-3.312513536,-62.13994002,34.71125723
0.1,0.3,0.65,37.05,-5.235530027,-3.309890983,-64.28673817,33.45309827
0.1,0.3,0.65,37.1,-5.409438795,-3.254117829,-66.06264981,32.340892
0.1,0.3,0.65,37.15,-5.587154665,-3.1234139,-67.11581301,31.09635016
0.1,0.3,0.65,37.2,-5.668171666,-2.944795822,-67.53375304,29.34531319
0.1,0.3,0.65,37.25,-5.613659729,-2.785145074,-68.02600975,27.02934197
0.1,0.3,0.65,37.3,-5.490003079,-2.68287198,-69.0724505,24.43379082
0.1,0.3,0.65,37.35,-5.363805009,-2.631965474,-70.61349694,21.82627118
0.1,0.3,0.65,37.4,-5.259344907,-2.612762916,-72.44170695,19.31655697
0.1,0.3,0.65,37.45,-5.178161991,-2.610018153,-74.41015559,16.91846699
0.1,0.3,0.65,37.5,-5.11573597,-2.614954158,-76.44083076,14.61421645
0.1,0.3,0.65,37.55,-5.067361605,-2.623046854,-78.49576927,12.38195936
0.1,0.3,0.65,37.6,-5.029408623,-2.632073874,-80.55687464,10.20355701
0.1,0.3,0.65,37.65,-4.999288255,-2.640979109,-82.61550464,8.065493201
0.1,0.3,0.65,37.7,-4.975185238,-2.649283986,-84.66750398,5.958037338
0.1,0.3,0.65,37.75,-4.955817257,-2.656792725,-86.7108715,3.874228982
0.1,0.3,0.65,37.8,-4.940261708,-2.663445804,-88.7446611,1.809060478
0.1,0.3,0.65,37.85,-4.927839025,-2.669247031,-90.76846132,-0.241111785
0.1,0.3,0.65,37.9,-4.918035787,-2.674227303,-92.78214933,-2.278975677
0.1,0.3,0.65,37.95,-4.910454304,-2.678426815,-94.78577599,-4.306543613
0.1,0.3,0.65,38,-4.904779532,-2.681886622,-96.77951336,-6.325345361
0.1,0.3,0.65,38.05,-4.900757312,-2.684644971,-98.76363116,-8.336561727
0.1,0.3,0.65,38.1,-4.898180006,-2.686736034,-100.7384857,-10.34111824
0.1,0.3,0.65,38.15,-4.896877003,-2.688189845,-102.7045129,-12.33975155
0.1,0.3,0.65,38.2,-4.896708379,-2.689032799,-104.6622226,-14.33305715
0.1,0.3,0.65,38.25,-4.897560625,-2.689288402,-106.6121905,-16.32152396
0.1,0.3,0.65,38.3,-4.899343659,-2.688978096,-108.5550495,-18.30555987
0.1,0.3,0.65,38.35,-4.901988645,-2.688122099,-110.491479,-20.28551082
0.1,0.3,0.65,38.4,-4.90544625,-2.686740217,-112.4221929,-22.26167527
0.1,0.3,0.65,38.45,-4.909685133,-2.684852634,-114.3479268,-24.23431563
0.1,0.3,0.65,38.5,-4.914690517,-2.682480692,-116.2694254,-26.20366744
0.1,0.3,0.65,38.55,-4.920462759,-2.679647664,-118.1874287,-28.16994752
0.1,0.3,0.65,38.6,-4.927015857,-2.676379556,-120.1026607,-30.1333616
0.1,0.3,0.65,38.65,-4.934375903,-2.672705942,-122.0158169,-32.09411269
0.1,0.3,0.65,38.7,-4.942579448,-2.668660828,-123.9275547,-34.05241105
0.1,0.3,0.65,38.75,-4.951671824,-2.664283496,-125.8384835,-36.00848754
0.1,0.3,0.65,38.8,-4.961705406,-2.659619172,-127.7491574,-37.96261246
0.1,0.3,0.65,38.85,-4.972737873,-2.654719157,-129.6600689,-39.91512302
0.1,0.3,0.65,38.9,-4.984830457,-2.649639591,-131.5716438,-41.8664632
0.1,0.3,0.65,38.95,-4.998046224,-2.644437217,-133.4842376,-43.81723973
0.1,0.3,0.65,39,-5.01244839,-2.639158981,-135.3981339,-45.76829335
0.1,0.3,0.65,39.05,-5.0280987,-2.633820256,-137.3135429,-47.72076873
0.1,0.3,0.65,39.1,-5.045055865,-2.628365139,-139.2306018,-49.67612548
0.1,0.3,0.65,39.15,-5.063374073,-2.622607242,-141.1493764,-51.6359526
0.1,0.3,0.65,39.2,-5.083101568,-2.616173171,-143.0698625,-53.60136824
0.1,0.3,0.65,39.25,-5.10427929,-2.608521421,-144.9919895,-55.57190683
0.1,0.3,0.65,39.3,-5.126939562,-2.599137545,-146.9156237,-57.54444803
0.1,0.3,0.65,39.35,-5.151104792,-2.587877161,-148.8405724,-59.51358318
0.1,0.3,0.65,39.4,-5.176786164,-2.575164557,-150.7665888,-61.47408151
0.1,0.3,0.65,39.45,-5.203982249,-2.561789135,-152.6933772,-63.42354095
0.1,0.3,0.65,39.5,-5.232677458,-2.548493924,-154.6205987,-65.36279103
0.1,0.3,0.65,39.55,-5.262840219,-2.535733689,-156.5478777,-67.29435444
0.1,0.3,0.65,39.6,-5.294420707,-2.523684613,-158.4748092,-69.22085019
0.1,0.3,0.65,39.65,-5.327347848,-2.512358598,-160.400968,-71.14425106
0.1,0.3,0.65,39.7,-5.36152521,-2.501703103,-162.32592,-73.06580253
0.1,0.3,0.65,39.75,-5.396825128,-2.491656707,-164.2492384,-74.98619496
0.1,0.3,0.65,39.8,-5.433080049,-2.482171764,-166.1705283,-76.90575842
0.1,0.3,0.65,39.85,-5.470069407,-2.473219991,-168.0894665,-78.8246085
0.1,0.3,0.65,39.9,-5.507499135,-2.464791071,-170.0058712,-80.74273966
0.1,0.3,0.65,39.95,-5.544968816,-2.456889146,-171.9198328,-82.6600809
0.1,0.3,0.65,40,-5.581917517,-2.449529169,-173.8319702,-84.5765278
0.1,0.3,0.65,40.05,-5.617532256,-2.442733754,-175.7439718,-86.49196099
0.1,0.3,0.65,40.1,-5.650591391,-2.4365306,-177.6598135,-88.40625723
0.1,0.3,0.65,40.15,-5.679205057,-2.43095038,-179.5887213,-90.31929706
0.1,0.3,0.65,40.2,-5.700473022,-2.426024946,178.4469877,-92.23097123
0.1,0.3,0.65,40.25,-5.710712318,-2.42178568,176.3896872,-94.14118778
0.1,0.3,0.65,40.3,-5.711588016,-2.418261804,174.0872147,-96.04988112
0.1,0.3,0.65,40.35,-5.750646743,-2.415478451,171.265813,-97.95702486
0.1,0.3,0.65,40.4,-5.961914529,-2.413454196,168.4558207,-99.86265072
0.1,0.3,0.65,40.45,-6.201452481,-2.412197581,167.0158823,-101.7668773
0.1,0.3,0.65,40.5,-6.306849475,-2.411701849,165.8947724,-103.6699552
0.1,0.3,0.65,40.55,-6.358823339,-2.411936376,164.5161459,-105.5723399
0.1,0.3,0.65,40.6,-6.400564737,-2.412831845,162.9571119,-107.4748154
0.1,0.3,0.65,40.65,-6.442318319,-2.414252749,161.306239,-109.3787124
0.1,0.3,0.65,40.7,-6.485877599,-2.415942311,159.610133,-111.28632
0.1,0.3,0.65,40.75,-6.531160419,-2.417401047,157.8925068,-113.2017198
0.1,0.3,0.65,40.8,-6.577731705,-2.417583917,156.1661172,-115.1326428
0.1,0.3,0.65,40.85,-6.625152057,-2.414005959,154.4383115,-117.095117
0.1,0.3,0.65,40.9,-6.673046363,-2.399354256,152.7136083,-119.1268107
0.1,0.3,0.65,40.95,-6.721105562,-2.342202216,150.9949582,-121.3252341
0.1,0.3,0.65,41,-6.7690749,-1.990948934,149.2843948,-123.1560492
0.1,0.3,0.7,37,-5.171003573,-3.252137503,-65.03654209,32.00010958
0.1,0.3,0.7,37.05,-5.296665223,-3.242170019,-67.22290841,30.69728552
0.1,0.3,0.7,37.1,-5.469323293,-3.184771672,-68.99749019,29.50238355
0.1,0.3,0.7,37.15,-5.639512349,-3.062577258,-70.06701092,28.18369734
0.1,0.3,0.7,37.2,-5.717514534,-2.896484778,-70.55520845,26.4251467
0.1,0.3,0.7,37.25,-5.670263669,-2.743033656,-71.09365912,24.14689166
0.1,0.3,0.7,37.3,-5.553760952,-2.640696411,-72.12713089,21.57847677
0.1,0.3,0.7,37.35,-5.429444189,-2.588375062,-73.6381244,18.974746
0.1,0.3,0.7,37.4,-5.323660129,-2.568644327,-75.44772689,16.45701946
0.1,0.3,0.7,37.45,-5.240463463,-2.56630664,-77.41256602,14.04856879
0.1,0.3,0.7,37.5,-5.17652989,-2.572123171,-79.44985297,11.73528349
0.1,0.3,0.7,37.55,-5.127468703,-2.581205354,-81.51663682,9.495969877
0.1,0.3,0.7,37.6,-5.089585082,-2.591131492,-83.59139012,7.312121171
0.1,0.3,0.7,37.65,-5.060107757,-2.600758885,-85.66344323,5.16966916
0.1,0.3,0.7,37.7,-5.037030012,-2.609584681,-87.72756999,3.058410366
0.1,0.3,0.7,37.75,-5.018907969,-2.617419924,-89.78129479,0.971040317
0.1,0.3,0.7,37.8,-5.004697121,-2.624226105,-91.82355438,-1.097678954
0.1,0.3,0.7,37.85,-4.993634162,-2.630033605,-93.85402692,-3.151535668
0.1,0.3,0.7,37.9,-4.985154627,-2.63490121,-95.87279175,-5.193301937
0.1,0.3,0.7,37.95,-4.978835972,-2.638896327,-97.88015491,-7.22503352
0.1,0.3,0.7,38,-4.974358089,-2.642085653,-99.87655859,-9.248276721
0.1,0.3,0.7,38.05,-4.971475695,-2.644531141,-101.8625332,-11.26421204
0.1,0.3,0.7,38.1,-4.969998842,-2.646288615,-103.8386714,-13.27375487
0.1,0.3,0.7,38.15,-4.969779046,-2.647407664,-105.8056126,-15.27762687
0.1,0.3,0.7,38.2,-4.970699378,-2.647932131,-107.7640338,-17.27640718
0.1,0.3,0.7,38.25,-4.972667359,-2.647900814,-109.7146424,-19.27056963
0.1,0.3,0.7,38.3,-4.975609907,-2.647348219,-111.6581703,-21.26051008
0.1,0.3,0.7,38.35,-4.979469772,-2.646305269,-113.5953695,-23.24656681
0.1,0.3,0.7,38.4,-4.984203102,-2.644799927,-115.5270066,-25.22903593
0.1,0.3,0.7,38.45,-4.989777839,-2.642857735,-117.4538587,-27.20818319
0.1,0.3,0.7,38.5,-4.996172767,-2.640502254,-119.3767084,-29.18425328
0.1,0.3,0.7,38.55,-5.003377071,-2.637755418,-121.2963385,-31.1574773
0.1,0.3,0.7,38.6,-5.011390269,-2.634637806,-123.2135271,-33.12807904
0.1,0.3,0.7,38.65,-5.020222477,-2.631168837,-125.1290411,-35.09628052
0.1,0.3,0.7,38.7,-5.029894894,-2.627366885,-127.0436289,-37.06230726
0.1,0.3,0.7,38.75,-5.040440464,-2.623249307,-128.9580116,-39.02639375
0.1,0.3,0.7,38.8,-5.051904626,-2.618832354,-130.8728721,-40.98878956
0.1,0.3,0.7,38.85,-5.064346043,-2.614130926,-132.7888412,-42.9497669
0.1,0.3,0.7,38.9,-5.077837169,-2.609158064,-134.7064806,-44.90963036
0.1,0.3,0.7,38.95,-5.092464441,-2.603923979,-136.626261,-46.86873021
0.1,0.3,0.7,39,-5.108327792,-2.598434267,-138.5485367,-48.82748102
0.1,0.3,0.7,39.05,-5.125539103,-2.592686551,-140.4735147,-50.78638785
0.1,0.3,0.7,39.1,-5.144219075,-2.586664118,-142.4012212,-52.7460825
0.1,0.3,0.7,39.15,-5.164491958,-2.580323645,-144.3314672,-54.70737023
0.1,0.3,0.7,39.2,-5.186477597,-2.573571283,-146.2638185,-56.67127702
0.1,0.3,0.7,39.25,-5.210280444,-2.566216514,-148.1975783,-58.63905044
0.1,0.3,0.7,39.3,-5.235975733,-2.557888105,-150.1317933,-60.61195083
0.1,0.3,0.7,39.35,-5.263593858,-2.547909457,-152.0652959,-62.59036123
0.1,0.3,0.7,39.4,-5.293105242,-2.535242258,-153.9967932,-64.57124221
0.1,0.3,0.7,39.45,-5.324409227,-2.51897681,-155.9250082,-66.54370936
0.1,0.3,0.7,39.5,-5.357331293,-2.499997105,-157.8488642,-68.48948509
0.1,0.3,0.7,39.55,-5.39163241,-2.481979468,-159.7676862,-70.40082681
0.1,0.3,0.7,39.6,-5.427032094,-2.468057049,-161.6813793,-72.29555353
0.1,0.3,0.7,39.65,-5.463242982,-2.4577784,-163.5905379,-74.19673847
0.1,0.3,0.7,39.7,-5.500010797,-2.44907158,-165.4964505,-76.11335079
0.1,0.3,0.7,39.75,-5.537151248,-2.440411222,-167.4009951,-78.04437326
0.1,0.3,0.7,39.8,-5.574576119,-2.431064916,-169.3064502,-79.98655025
0.1,0.3,0.7,39.85,-5.612304334,-2.420737359,-171.215271,-81.93739473
0.1,0.3,0.7,39.9,-5.650458619,-2.409309615,-173.1298863,-83.89563213
0.1,0.3,0.7,39.95,-5.689252449,-2.396720449,-175.052558,-85.86103912
0.1,0.3,0.7,40,-5.728974045,-2.382927157,-176.9853229,-87.83431638
0.1,0.3,0.7,40.05,-5.769974511,-2.367910409,-178.9300187,-89.81713277
0.1,0.3,0.7,40.1,-5.812666716,-2.351720352,179.1116192,-91.81236431
0.1,0.3,0.7,40.15,-5.857541951,-2.334593629,177.1378071,-93.82450858
0.1,0.3,0.7,40.2,-5.905214294,-2.317219631,175.1465313,-95.86006587
0.1,0.3,0.7,40.25,-5.956510317,-2.30130244,173.1353764,-97.92685763
0.1,0.3,0.7,40.3,-6.012637871,-2.290506604,171.1014802,-100.0285899
0.1,0.3,0.7,40.35,-6.075497174,-2.290853162,169.041971,-102.1463394
0.1,0.3,0.7,40.4,-6.148237199,-2.306277141,166.9559766,-104.2097593
0.1,0.3,0.7,40.45,-6.236133951,-2.327405053,164.8514289,-106.1275019
0.1,0.3,0.7,40.5,-6.347288105,-2.33486978,162.7650654,-107.9109091
0.1,0.3,0.7,40.55,-6.489503495,-2.321870823,160.808095,-109.6642704
0.1,0.3,0.7,40.6,-6.652158996,-2.294912913,159.1981163,-111.4538341
0.1,0.3,0.7,40.65,-6.780026268,-2.261018625,158.0396212,-113.2879203
0.1,0.3,0.7,40.7,-6.825506699,-2.223795463,156.9519306,-115.1544435
0.1,0.3,0.7,40.75,-6.824157434,-2.184566386,155.5282786,-117.0405179
0.1,0.3,0.7,40.8,-6.826030563,-2.143627963,153.7915446,-118.9365948
0.1,0.3,0.7,40.85,-6.847160305,-2.10088412,151.8993258,-120.8360406
0.1,0.3,0.7,40.9,-6.886237866,-2.056109,149.9516633,-122.734124
0.1,0.3,0.7,40.95,-6.93887975,-2.009048184,147.9936559,-124.6272467
0.1,0.3,0.7,41,-7.001489336,-1.959455779,146.0435629,-126.5124539
0.1,0.3,0.75,37,-5.201867861,-3.184684639,-67.31351636,28.9707633
0.1,0.3,0.75,37.05,-5.17931373,-3.119283075,-69.00757746,26.97137204
0.1,0.3,0.75,37.1,-5.158005959,-3.058320954,-70.70987305,24.95539749
0.1,0.3,0.75,37.15,-5.137953757,-3.001809746,-72.42014627,22.92490705
0.1,0.3,0.75,37.2,-5.11916912,-2.949729511,-74.13812468,20.88197723
0.1,0.3,0.75,37.25,-5.101668022,-2.902028965,-75.86351792,18.82866837
0.1,0.3,0.75,37.3,-5.085472018,-2.858626135,-77.59601544,16.76699962
0.1,0.3,0.75,37.35,-5.070610437,-2.81940957,-79.33528469,14.69892481
0.1,0.3,0.75,37.4,-5.057123383,-2.78424009,-81.0809707,12.62630988
0.1,0.3,0.75,37.45,-5.045065873,-2.752953003,-82.83269861,10.55091242
0.1,0.3,0.75,37.5,-5.034513544,-2.725360744,-84.59008243,8.474363781
0.1,0.3,0.75,37.55,-5.025570459,-2.701255845,-86.35274567,6.398154118
0.1,0.3,0.75,37.6,-5.01837958,-2.680414144,-88.12036421,4.323620672
0.1,0.3,0.75,37.65,-5.013136181,-2.662598165,-89.89274983,2.251939391
0.1,0.3,0.75,37.7,-5.0101034,-2.647560559,-91.67000569,0.184119934
0.1,0.3,0.75,37.75,-5.009625916,-2.635047536,-93.45280336,-1.878996031
0.1,0.3,0.75,37.8,-5.012130082,-2.624802205,-95.24284816,-3.936733409
0.1,0.3,0.75,37.85,-5.01808286,-2.61656775,-97.04358596,-5.988579388
0.1,0.3,0.75,37.9,-5.027856361,-2.610090401,-98.86107093,-8.034176598
0.1,0.3,0.75,37.95,-5.04142694,-2.605122136,-100.7044894,-10.07331406
0.1,0.3,0.75,38,-5.057899928,-2.60142309,-102.5850329,-12.10591631
0.1,0.3,0.75,38.05,-5.07511446,-2.598763656,-104.5113998,-14.1320311
0.1,0.3,0.75,38.1,-5.089952075,-2.596926252,-106.4824934,-16.15181596
0.1,0.3,0.75,38.15,-5.099723411,-2.595706765,-108.483354,-18.16552413
0.1,0.3,0.75,38.2,-5.103704707,-2.594915669,-110.490958,-20.1734901
0.1,0.3,0.75,38.25,-5.103298674,-2.594378838,-112.4860193,-22.17611495
0.1,0.3,0.75,38.3,-5.100838324,-2.593938068,-114.4598316,-24.17385204
0.1,0.3,0.75,38.35,-5.098379444,-2.593451326,-116.4128153,-26.16719296
0.1,0.3,0.75,38.4,-5.097234691,-2.592792754,-118.3497711,-28.15665412
0.1,0.3,0.75,38.45,-5.098054542,-2.591852463,-120.276254,-30.14276412
0.1,0.3,0.75,38.5,-5.101066717,-2.590536118,-122.1969398,-32.12605186
0.1,0.3,0.75,38.55,-5.106277795,-2.588764373,-124.1152545,-34.10703573
0.1,0.3,0.75,38.6,-5.113598213,-2.586472155,-126.0335206,-36.08621367
0.1,0.3,0.75,38.65,-5.122908309,-2.583607836,-127.9532288,-38.06405439
0.1,0.3,0.75,38.7,-5.134089183,-2.580132318,-129.8752835,-40.04098956
0.1,0.3,0.75,38.75,-5.14703507,-2.576018042,-131.8001887,-42.01740704
0.1,0.3,0.75,38.8,-5.161656774,-2.571247955,-133.7281777,-43.99364524
0.1,0.3,0.75,38.85,-5.177881172,-2.565814452,-135.6593005,-45.96998832
0.1,0.3,0.75,38.9,-5.19564921,-2.559718306,-137.5934808,-47.94666246
0.1,0.3,0.75,38.95,-5.214913498,-2.552967612,-139.5305547,-49.92383296
0.1,0.3,0.75,39,-5.23563599,-2.545576754,-141.4702948,-51.90160214
0.1,0.3,0.75,39.05,-5.2577859,-2.53756543,-143.4124272,-53.88000799
0.1,0.3,0.75,39.1,-5.281337891,-2.528957722,-145.3566416,-55.85902342
0.1,0.3,0.75,39.15,-5.306270499,-2.51978127,-147.3025989,-57.8385561
0.1,0.3,0.75,39.2,-5.332564742,-2.510066526,-149.2499358,-59.8184486
0.1,0.3,0.75,39.25,-5.360202864,-2.499846157,-151.1982679,-61.79847889
0.1,0.3,0.75,39.3,-5.389167135,-2.48915459,-153.1471916,-63.77836082
0.1,0.3,0.75,39.35,-5.41943867,-2.478027757,-155.0962864,-65.75774458
0.1,0.3,0.75,39.4,-5.450996181,-2.466503095,-157.0451155,-67.73621689
0.1,0.3,0.75,39.45,-5.483814588,-2.454619865,-158.9932269,-69.71330051
0.1,0.3,0.75,39.5,-5.5178634,-2.442419897,-160.9401551,-71.68845305
0.1,0.3,0.75,39.55,-5.553104714,-2.429948934,-162.8854223,-73.66106468
0.1,0.3,0.75,39.6,-5.589490669,-2.417258795,-164.8285413,-75.63045446
0.1,0.3,0.75,39.65,-5.626960068,-2.404410742,-166.7690196,-77.59586532
0.1,0.3,0.75,39.7,-5.665433764,-2.391480608,-168.7063667,-79.55645798
0.1,0.3,0.75,39.75,-5.704808204,-2.378566584,-170.6401068,-81.51130514
0.1,0.3,0.75,39.8,-5.744946154,-2.365801084,-172.5698009,-83.45938938
0.1,0.3,0.75,39.85,-5.78566309,-2.353368901,-174.4950887,-85.39961353
0.1,0.3,0.75,39.9,-5.826706838,-2.341535079,-176.4157643,-87.33084265
0.1,0.3,0.75,39.95,-5.867726637,-2.330687443,-178.3319248,-89.25202127
0.1,0.3,0.75,40,-5.908225887,-2.321399765,179.7557368,-91.1624614
0.1,0.3,0.75,40.05,-5.947491181,-2.31451837,177.8453269,-93.06250589
0.1,0.3,0.75,40.1,-5.984494098,-2.311254487,175.9324561,-94.95498078
0.1,0.3,0.75,40.15,-6.017795844,-2.313187945,174.0073699,-96.84814413
0.1,0.3,0.75,40.2,-6.045653635,-2.321867949,172.0485309,-98.76075955
0.1,0.3,0.75,40.25,-6.06724817,-2.337294432,170.0093733,-100.7272989
0.1,0.3,0.75,40.3,-6.088355432,-2.354724702,167.8022161,-102.7916977
0.1,0.3,0.75,40.35,-6.136419931,-2.362624034,165.348896,-104.969745
0.1,0.3,0.75,40.4,-6.256033849,-2.349258804,162.8624892,-107.2025888
0.1,0.3,0.75,40.45,-6.423049241,-2.31442372,160.8248517,-109.38901
0.1,0.3,0.75,40.5,-6.56370715,-2.268233455,159.19426,-111.4731527
0.1,0.3,0.75,40.55,-6.66544242,-2.220295122,157.6541107,-113.4616393
0.1,0.3,0.75,40.6,-6.745509608,-2.175135244,156.0758872,-115.3840703
0.1,0.3,0.75,40.65,-6.816377349,-2.133717027,154.4478603,-117.2661478
0.1,0.3,0.75,40.7,-6.883940544,-2.095563085,152.7842058,-119.1241541
0.1,0.3,0.75,40.75,-6.950754482,-2.059860329,151.0991484,-120.9672021
0.1,0.3,0.75,40.8,-7.017911587,-2.025855465,149.4030577,-122.8001212
0.1,0.3,0.75,40.85,-7.085869863,-1.992948797,147.7030398,-124.625404
0.1,0.3,0.75,40.9,-7.154805605,-1.960688157,146.0039628,-126.4443181
0.1,0.3,0.75,40.95,-7.224766677,-1.928739131,144.3092275,-128.2575061
0.1,0.3,0.75,41,-7.295741407,-1.89685565,142.6212715,-130.0653022
0.1,0.3,0.8,37,-5.217562949,-3.136838348,-69.38431754,26.42743965
0.1,0.3,0.8,37.05,-5.304778576,-3.153419784,-71.74755488,24.97628067
0.1,0.3,0.8,37.1,-5.460344828,-3.134463736,-73.87077256,23.73749906
0.1,0.3,0.8,37.15,-5.658819283,-3.046874278,-75.31282403,22.5503747
0.1,0.3,0.8,37.2,-5.794724588,-2.888553939,-75.90384585,21.0168667
0.1,0.3,0.8,37.25,-5.78476811,-2.719905505,-76.29513048,18.87387171
0.1,0.3,0.8,37.3,-5.677344011,-2.601596202,-77.17913548,16.32159537
0.1,0.3,0.8,37.35,-5.552165607,-2.540579552,-78.61452372,13.68993393
0.1,0.3,0.8,37.4,-5.44460665,-2.516853391,-80.39467403,11.14303889
0.1,0.3,0.8,37.45,-5.360302714,-2.51233866,-82.35075566,8.711842497
0.1,0.3,0.8,37.5,-5.295742451,-2.516529348,-84.38888593,6.37996449
0.1,0.3,0.8,37.55,-5.246292135,-2.524154098,-86.46196925,4.123651762
0.1,0.3,0.8,37.6,-5.208168763,-2.532718255,-88.54681204,1.923017994
0.1,0.3,0.8,37.65,-5.178608502,-2.541083413,-90.63189811,-0.236555095
0.1,0.3,0.8,37.7,-5.155648502,-2.548756133,-92.71144757,-2.365409476
0.1,0.3,0.8,37.75,-5.137893654,-2.555545861,-94.7825664,-4.47081939
0.1,0.3,0.8,37.8,-5.124339691,-2.561401574,-96.84385881,-6.557938936
0.1,0.3,0.8,37.85,-5.114250712,-2.566333671,-98.89473503,-8.630465896
0.1,0.3,0.8,37.9,-5.107076699,-2.570376779,-100.9350566,-10.69109018
0.1,0.3,0.8,37.95,-5.102398196,-2.573572441,-102.9649493,-12.74179424
0.1,0.3,0.8,38,-5.099889003,-2.575961614,-104.9847016,-14.78405491
0.1,0.3,0.8,38.05,-5.099290795,-2.577582085,-106.9947079,-16.81898023
0.1,0.3,0.8,38.1,-5.10039566,-2.578468431,-108.9954353,-18.84740335
0.1,0.3,0.8,38.15,-5.103033968,-2.578653402,-110.9874036,-20.86994814
0.1,0.3,0.8,38.2,-5.107065853,-2.578170202,-112.9711724,-22.887077
0.1,0.3,0.8,38.25,-5.112375183,-2.577055458,-114.9473325,-24.89912827
0.1,0.3,0.8,38.3,-5.118865259,-2.575352758,-116.9164994,-26.90635026
0.1,0.3,0.8,38.35,-5.126455728,-2.573116516,-118.8793082,-28.90893826
0.1,0.3,0.8,38.4,-5.135080357,-2.570415593,-120.8364099,-30.9070813
0.1,0.3,0.8,38.45,-5.144685432,-2.56733544,-122.7884681,-32.90102481
0.1,0.3,0.8,38.5,-5.155228612,-2.56397659,-124.7361554,-34.89115096
0.1,0.3,0.8,38.55,-5.166678122,-2.560446476,-126.6801514,-36.87806825
0.1,0.3,0.8,38.6,-5.179012216,-2.55684184,-128.6211403,-38.86268333
0.1,0.3,0.8,38.65,-5.19221885,-2.553221915,-130.5598084,-40.84620698
0.1,0.3,0.8,38.7,-5.206295562,-2.549579064,-132.4968432,-42.83004198
0.1,0.3,0.8,38.75,-5.221249539,-2.545820665,-134.4329311,-44.815539
0.1,0.3,0.8,38.8,-5.237097899,-2.541776784,-136.3687573,-46.80368762
0.1,0.3,0.8,38.85,-5.253868255,-2.537236912,-138.3050044,-48.79487996
0.1,0.3,0.8,38.9,-5.271599622,-2.532001391,-140.242352,-50.78886581
0.1,0.3,0.8,38.95,-5.290343851,-2.525924294,-142.181477,-52.78490911
0.1,0.3,0.8,39,-5.310167791,-2.518932129,-144.1230519,-54.78204605
0.1,0.3,0.8,39.05,-5.331156561,-2.511018568,-146.0677432,-56.7793217
0.1,0.3,0.8,39.1,-5.353418485,-2.502225776,-148.0162051,-58.77593547
0.1,0.3,0.8,39.15,-5.37709253,-2.492623593,-149.969065,-60.77129143
0.1,0.3,0.8,39.2,-5.402359457,-2.482293094,-151.9268891,-62.76498503
0.1,0.3,0.8,39.25,-5.429458248,-2.471316219,-153.8901094,-64.75676091
0.1,0.3,0.8,39.3,-5.458709059,-2.459770555,-155.8588639,-66.74646536
0.1,0.3,0.8,39.35,-5.490541137,-2.447727553,-157.8326653,-68.73400504
0.1,0.3,0.8,39.4,-5.525512508,-2.435252718,-159.8097311,-70.71931511
0.1,0.3,0.8,39.45,-5.564271734,-2.422406729,-161.7857363,-72.70233634
0.1,0.3,0.8,39.5,-5.607321649,-2.40924695,-163.7519224,-74.68299883
0.1,0.3,0.8,39.55,-5.654318137,-2.39582902,-165.6938366,-76.66121032
0.1,0.3,0.8,39.6,-5.702844837,-2.382208482,-167.5957679,-78.63684687
0.1,0.3,0.8,39.65,-5.748078021,-2.368442482,-169.457144,-80.60974437
0.1,0.3,0.8,39.7,-5.786007765,-2.354591684,-171.3075416,-82.57968933
0.1,0.3,0.8,39.75,-5.817716114,-2.340722669,-173.1878999,-84.5464074
0.1,0.3,0.8,39.8,-5.84795554,-2.326911222,-175.1163678,-86.5095479
0.1,0.3,0.8,39.85,-5.880689303,-2.313247226,-177.0861287,-88.46866184
0.1,0.3,0.8,39.9,-5.917619449,-2.299842412,-179.0829282,-90.42316991
0.1,0.3,0.8,39.95,-5.959019078,-2.286843342,178.9046517,-92.37231532
0.1,0.3,0.8,40,-6.004638764,-2.274454281,176.8836717,-94.31509406
0.1,0.3,0.8,40.05,-6.054142599,-2.262979795,174.8581294,-96.25015429
0.1,0.3,0.8,40.1,-6.107249225,-2.252909005,172.8302861,-98.17566539
0.1,0.3,0.8,40.15,-6.163755151,-2.245094062,170.801509,-100.089215
0.1,0.3,0.8,40.2,-6.223522749,-2.241157289,168.7727335,-101.9880919
0.1,0.3,0.8,40.25,-6.286462228,-2.244481285,166.7447026,-103.8718419
0.1,0.3,0.8,40.3,-6.352515991,-2.262540693,164.7180877,-105.7573076
0.1,0.3,0.8,40.35,-6.421646812,-2.308607507,162.6935474,-107.7583546
0.1,0.3,0.8,40.4,-6.493829333,-2.358519059,160.6717539,-110.2689206
0.1,0.3,0.8,40.45,-6.569044037,-2.282411061,158.653404,-112.9359099
0.1,0.3,0.8,40.5,-6.647273023,-2.183704685,156.6392213,-114.870361
0.1,0.3,0.8,40.55,-6.728497016,-2.134119644,154.6299537,-116.6159133
0.1,0.3,0.8,40.6,-6.812693286,-2.107807286,152.626369,-118.3909642
0.1,0.3,0.8,40.65,-6.899834193,-2.09067056,150.6292498,-120.2029693
0.1,0.3,0.8,40.7,-6.989886208,-2.077672168,148.6393869,-122.0381182
0.1,0.3,0.8,40.75,-7.082809285,-2.066916454,146.6575738,-123.8859917
0.1,0.3,0.8,40.8,-7.178556505,-2.057621274,144.6846007,-125.7399801
