"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-30.3832636170377,-0.611385762085849,1402.78223595795,3.4047745507649,91.8673787825358
0.5,37.05,-30.324513331315,-0.608181956003231,1404.76171329516,3.40926498681481,91.8791426419929
0.5,37.1,-30.2706945116584,-0.604962964649913,1406.74129753829,3.41375479231085,91.8908974856876
0.5,37.15,-30.2218824771016,-0.601734557967555,1408.72098828269,3.41824396757617,91.9026432482242
0.5,37.2,-30.1781421803499,-0.598502469782979,1410.70078512517,3.42273251294352,91.9143798646894
0.5,37.25,-30.1395277813611,-0.595272388387244,1412.68068766394,3.42722042875512,91.9261072706512
0.5,37.3,-30.10608231629,-0.592049947066659,1414.66069549863,3.43170771536253,91.9378254021581
0.5,37.35,-30.0778374683999,-0.588840714605123,1416.64080823029,3.43619437312655,91.9495341957387
0.5,37.4,-30.0548134455932,-0.585650185777152,1418.62102546139,3.4406804024171,91.9612335883998
0.5,37.45,-30.0370189670969,-0.582483771850883,1420.60134679581,3.44516580361311,91.9729235176266
0.5,37.5,-30.0244513596406,-0.579346791120206,1422.58177183884,3.4496505771024,91.9846039213808
0.5,37.55,-30.0170967612426,-0.576244459484882,1424.56230019718,3.45413472328157,91.9962747381001
0.5,37.6,-30.0149304285642,-0.573181881097181,1426.54293147894,3.45861824255591,92.0079359066973
0.5,37.65,-30.0179171417601,-0.570164039093203,1428.52366529362,3.46310113533925,92.019587366559
0.5,37.7,-30.0260116989203,-0.567195786426451,1430.50450125215,3.46758340205391,92.0312290575448
0.5,37.75,-30.0391594906156,-0.564281836820715,1432.48543896682,3.47206504313055,92.0428609199861
0.5,37.8,-30.0572971437663,-0.561426755858676,1434.46647805135,3.47654605900807,92.0544828946853
0.5,37.85,-30.0803532230843,-0.558634952221801,1436.44761812084,3.48102645013355,92.0660949229144
0.5,37.9,-30.1082489777051,-0.555910669096495,1438.42885879178,3.48550621696208,92.0776969464142
0.5,37.95,-30.1408991203285,-0.553257975760354,1440.41019968206,3.48998535995672,92.0892889073932
0.5,38,-30.1782126262093,-0.550680759361749,1442.39164041095,3.49446387958837,92.1008707485261
0.5,38.05,-30.2200935396604,-0.548182716904636,1444.3731805991,3.49894177633567,92.1124424129532
0.5,38.1,-30.2664417763152,-0.545767347449802,1446.35481986855,3.50341905068493,92.1240038442791
0.5,38.15,-30.3171539101978,-0.543437944542464,1448.33655784272,3.50789570313001,92.1355549865711
0.5,38.2,-30.3721239356295,-0.541197588875064,1450.3183941464,3.51237173417222,92.1470957843588
