"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-15.8544163137251,-1.94369642405738,1471.51192734905,3.56659142446058,77.2375685755696
0.5,37.05,-15.9502184560667,-1.9100645540821,1473.50992596619,3.57104566626336,77.2419167451471
0.5,37.1,-16.0967515110183,-1.85578801408851,1475.50793356281,3.57549955680745,77.246256927769
0.5,37.15,-16.2935768173416,-1.78370343143743,1477.50595009714,3.57995309659835,77.2505891263435
0.5,37.2,-16.5384764521317,-1.6979401240801,1479.50397552755,3.58440628614094,77.2549133438498
0.5,37.25,-16.8276585451336,-1.60324833472268,1481.50200981262,3.58885912593944,77.2592295833376
0.5,37.3,-17.1561202869702,-1.50431596349402,1483.50005291108,3.59331161649745,77.2635378479265
0.5,37.35,-17.5180923761895,-1.40524210600185,1485.49810478183,3.5977637583179,77.2678381408053
0.5,37.4,-17.9074848881767,-1.30924338463747,1487.49616538398,3.60221555190307,77.2721304652319
0.5,37.45,-18.3182722920784,-1.21857968500541,1489.49423467678,3.6066669977546,77.2764148245318
0.5,37.5,-18.7447832566373,-1.13463503048314,1491.49231261965,3.61111809637346,77.2806912220987
0.5,37.55,-19.1818875915531,-1.05807942014634,1493.49039917221,3.61556884825996,77.2849596613929
0.5,37.6,-19.6250914280977,-0.989052536799847,1495.48849429422,3.62001925391374,77.2892201459416
0.5,37.65,-20.0705610824098,-0.927332945257533,1497.48659794563,3.62446931383381,77.2934726793375
0.5,37.7,-20.5150978777708,-0.872476150999675,1499.48471008656,3.62891902851847,77.297717265239
0.5,37.75,-20.9560835418737,-0.823918031532443,1501.48283067728,3.63336839846537,77.3019539073693
0.5,37.8,-21.3914112796773,-0.781047126174435,1503.48095967826,3.63781742417149,77.3061826095156
0.5,37.85,-21.8194129736931,-0.743251951866581,1505.4790970501,3.64226610613314,77.3104033755294
0.5,37.9,-22.2387890381356,-0.709949756068998,1507.4772427536,3.64671444484594,77.3146162093248
0.5,37.95,-22.6485445149958,-0.680602245921702,1509.47539674972,3.65116244080485,77.318821114879
0.5,38,-23.0479329919261,-0.654722625129519,1511.47355899956,3.65561009450414,77.3230180962312
0.5,38.05,-23.4364086584132,-0.631877112809735,1513.47172946442,3.66005740643741,77.3272071574821
0.5,38.1,-23.8135860923117,-0.611683161886359,1515.46990810575,3.66450437709757,77.3313883027935
0.5,38.15,-24.1792070060135,-0.593805866281619,1517.46809488516,3.66895100697685,77.3355615363879
0.5,38.2,-24.5331130455115,-0.577953520702278,1519.46628976444,3.6733972965668,77.3397268625477
0.5,38.25,-24.8752237319049,-0.563872932314073,1521.46449270551,3.67784324635828,77.343884285615
0.5,38.3,-25.2055187012885,-0.551344838616066,1523.4627036705,3.68228885684146,77.3480338099905
0.5,38.35,-25.5240234966925,-0.540179625796337,1525.46092262166,3.68673412850584,77.3521754401337
0.5,38.4,-25.8307982719982,-0.530213440302759,1527.45914952142,3.69117906184022,77.3563091805621
0.5,38.45,-26.1259288700653,-0.521304724063014,1529.45738433237,3.69562365733271,77.3604350358503
0.5,38.5,-26.4095198296164,-0.513331167246864,1531.45562701726,3.70006791547072,77.3645530106304
0.5,38.55,-26.6816889554364,-0.506187052460505,1533.453877539,3.70451183674099,77.3686631095905
0.5,38.6,-26.9425631539829,-0.499780954624184,1535.45213586065,3.70895542162955,77.3727653374748
