"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,57,-26.692693071349,-0.613888620869784,2259.60042349323,5.16953195055904,97.103514289683
0.5,57.05,-26.4186149022243,-0.615819937008822,2261.5973785146,5.17383023680303,97.1084572803113
0.5,57.1,-26.1368399785434,-0.618395000195978,2263.59433507063,5.17812833649152,97.1133927501989
0.5,57.15,-25.847122775666,-0.621650877033845,2265.59129314548,5.18242624990067,97.1183207095895
0.5,57.2,-25.5491884727366,-0.625631480231731,2267.58825272341,5.18672397730615,97.1232411687197
0.5,57.25,-25.2427302068222,-0.630388943525365,2269.58521378876,5.19102151898315,97.1281541378184
0.5,57.3,-24.9274060386989,-0.635985309642529,2271.58217632592,5.19531887520638,97.133059627107
0.5,57.35,-24.6028355857545,-0.642494614795936,2273.57914031938,5.19961604625006,97.1379576467993
0.5,57.4,-24.268596273762,-0.650005478624243,2275.57610575367,5.20391303238795,97.1428482071013
0.5,57.45,-23.924219157056,-0.658624342632548,2277.57307261343,5.20820983389332,97.1477313182115
0.5,57.5,-23.5691842574513,-0.668479546276529,2279.57004088334,5.21250645103895,97.1526069903206
0.5,57.55,-23.2029153787305,-0.679726492489408,2281.56701054818,5.21680288409716,97.1574752336112
0.5,57.6,-22.8247743701507,-0.69255424016082,2283.56398159278,5.22109913333978,97.1623360582585
0.5,57.65,-22.4340548466245,-0.70719397902119,2285.56095400205,5.22539519903816,97.1671894744295
0.5,57.7,-22.0299754374216,-0.723930005542234,2287.55792776098,5.22969108146317,97.1720354922832
0.5,57.75,-21.6116727500227,-0.743114045094771,2289.55490285461,5.23398678088521,97.1768741219708
0.5,57.8,-21.1781944354329,-0.76518408112307,2291.55187926807,5.23828229757419,97.1817053736353
0.5,57.85,-20.7284930829279,-0.790689291068085,2293.54885698656,5.24257763179955,97.1865292574116
0.5,57.9,-20.2614222511931,-0.820323296131878,2295.54583599533,5.24687278383024,97.1913457834265
0.5,57.95,-19.7757369185857,-0.854968760718314,2297.54281627973,5.25116775393475,97.1961549617987
0.5,58,-19.2701022748041,-0.895757475601991,2299.53979782515,5.25546254238109,97.2009568026384
0.5,58.05,-18.7431175262746,-0.944151428068471,2301.53678061707,5.25975714943678,97.2057513160477
0.5,58.1,-18.193365991217,-1.00205184267962,2303.53376464102,5.26405157536886,97.2105385121204
0.5,58.15,-17.619510437459,-1.07194415279775,2305.53074988262,5.26834582044392,97.2153184009418
0.5,58.2,-17.0204653116466,-1.15708554023955,2307.52773632754,5.27263988492805,97.2200909925889
0.5,58.25,-16.3956981395549,-1.26173335456465,2309.52472396154,5.27693376908688,97.2248562971302
0.5,58.3,-15.7457447386813,-1.39138582643791,2311.52171277043,5.28122747318554,97.2296143246256
0.5,58.35,-15.0730700525776,-1.55293417573519,2313.51870274007,5.28552099748871,97.2343650851266
0.5,58.4,-14.3834642934175,-1.75445023073844,2315.51569385644,5.28981434226059,97.239108588676
0.5,58.45,-13.688201889195,-2.00395357928694,2317.51268610553,5.29410750776491,97.2438448453081
0.5,58.5,-13.0071039036417,-2.30581579276151,2319.50967947344,5.29840049426491,97.2485738650483
0.5,58.55,-12.3721763532462,-2.65272792673902,2321.50667394631,5.30269330202337,97.2532956579136
0.5,58.6,-11.8302332927268,-3.01226717873821,2323.50366951035,5.3069859313026,97.2580102339119
0.5,58.65,-11.4407974863605,-3.31515309144589,2325.50066615184,5.31127838236443,97.2627176030427
0.5,58.7,-11.2645263517128,-3.46847866491501,2327.49766385714,5.31557065547022,97.2674177752963
0.5,58.75,-11.3421653404454,-3.41146463706228,2329.49466261264,5.31986275088085,97.2721107606543
0.5,58.8,-11.6753240883495,-3.16774602803244,2331.49166240483,5.32415466885676,97.2767965690894
0.5,58.85,-12.2248283519676,-2.82416456681061,2333.48866322025,5.32844640965788,97.2814752105654
0.5,58.9,-12.9282095007278,-2.46609841084459,2335.48566504549,5.33273797354371,97.2861466950369
0.5,58.95,-13.7216087695452,-2.1430420144408,2337.48266786724,5.33702936077324,97.2908110324497
0.5,59,-14.5531649159738,-1.87219045680929,2339.47967167221,5.34132057160503,97.2954682327404
0.5,59.05,-15.386401008385,-1.65306653460376,2341.47667644721,5.34561160629715,97.3001183058367
0.5,59.1,-16.1981233938724,-1.47840855067483,2343.4736821791,5.3499024651072,97.3047612616569
0.5,59.15,-16.974851356983,-1.33966272987933,2345.47068885479,5.35419314829232,97.3093971101103
0.5,59.2,-17.7096436408479,-1.22912741209744,2347.46769646127,5.3584836561092,97.314025861097
0.5,59.25,-18.3997777485158,-1.14052224041905,2349.46470498559,5.36277398881403,97.3186475245077
0.5,59.3,-19.0451831298388,-1.0689425134953,2351.46171441486,5.36706414666256,97.3232621102241
0.5,59.35,-19.6474120180483,-1.01062772405973,2353.45872473625,5.37135412991007,97.3278696281184
0.5,59.4,-20.2089637826125,-0.962711437422059,2355.45573593699,5.37564393881138,97.3324700880534
0.5,59.45,-20.7328370408235,-0.923006705896551,2357.45274800437,5.37993357362083,97.3370634998827
0.5,59.5,-21.2222308152278,-0.889837219062381,2359.44976092576,5.38422303459232,97.3416498734503
0.5,59.55,-21.6803465427053,-0.861909461707131,2361.44677468856,5.38851232197926,97.3462292185911
0.5,59.6,-22.1102606388581,-0.838217564368115,2363.44378928025,5.39280143603464,97.3508015451301
0.5,59.65,-22.5148474098343,-0.817972921096408,2365.44080468837,5.39709037701094,97.355366862883
0.5,59.7,-22.8967379156889,-0.800552132425442,2367.43782090052,5.40137914516021,97.3599251816561
0.5,59.75,-23.2583040386687,-0.785458371429461,2369.43483790435,5.40566774073405,97.3644765112459
0.5,59.8,-23.6016595894614,-0.772292556021785,2371.43185568759,5.40995616398356,97.3690208614393
0.5,59.85,-23.9286722873165,-0.760731696743395,2373.42887423799,5.41424441515941,97.3735582420138
0.5,59.9,-24.2409820697301,-0.750512516800719,2375.42589354341,5.41853249451182,97.378088662737
0.5,59.95,-24.5400224949567,-0.741418967803853,2377.42291359173,5.42282040229053,97.382612133367
0.5,60,-24.8270430304634,-0.733272642822122,2379.41993437091,5.42710813874483,97.387128663652
0.5,60.05,-25.1031308042475,-0.725925359288657,2381.41695586895,5.43139570412356,97.3916382633306
0.5,60.1,-25.3692309702753,-0.71925337863094,2383.41397807393,5.43568309867511,97.3961409421316
0.5,60.15,-25.6261652436021,-0.713152869420823,2385.41100097396,5.4399703226474,97.4006367097739
0.5,60.2,-25.8746484331661,-0.707536322068419,2387.40802455724,5.44425737628789,97.4051255759666
0.5,60.25,-26.1153029745831,-0.702329696751245,2389.405048812,5.44854425984361,97.409607550409
0.5,60.3,-26.348671569439,-0.69747014021593,2391.40207372655,5.45283097356112,97.4140826427904
0.5,60.35,-26.5752280934069,-0.692904146853761,2393.39909928923,5.45711751768654,97.4185508627905
0.5,60.4,-26.795386959378,-0.688586068957257,2395.39612548846,5.46140389246551,97.4230122200785
0.5,60.45,-27.0095111254563,-0.684476903105017,2397.3931523127,5.46569009814325,97.4274667243142
0.5,60.5,-27.2179189293449,-0.680543296194885,2399.39017975048,5.46997613496451,97.4319143851471
0.5,60.55,-27.4208899158768,-0.676756727187222,2401.38720779038,5.4742620031736,97.4363552122167
0.5,60.6,-27.6186698067966,-0.673092830172141,2403.38423642104,5.47854770301438,97.4407892151524
0.5,60.65,-27.811474743635,-0.669530831694028,2405.38126563113,5.48283323473026,97.4452164035737
0.5,60.7,-27.9994949169305,-0.666053080909424,2407.37829540942,5.48711859856418,97.4496367870899
0.5,60.75,-28.1828976788654,-0.662644655529111,2409.3753257447,5.49140379475866,97.4540503753003
0.5,60.8,-28.3618302219007,-0.65929302990645,2411.37235662582,5.49568882355576,97.4584571777939
0.5,60.85,-28.5364218932912,-0.655987794308172,2413.36938804169,5.4999736851971,97.4628572041495
0.5,60.9,-28.7067862043869,-0.652720416510961,2415.36641998128,5.50425837992385,97.4672504639359
0.5,60.95,-28.8730225842226,-0.64948403853609,2417.3634524336,5.50854290797672,97.4716369667115
0.5,61,-29.0352179189136,-0.646273302662509,2419.36048538774,5.512827269596,97.4760167220246
0.5,61.05,-29.1934479116154,-0.643084201920842,2421.3575188328,5.51711146502151,97.4803897394131
0.5,61.1,-29.3477782921057,-0.639913951123692,2423.35455275797,5.52139549449265,97.4847560284049
0.5,61.15,-29.4982659002546,-0.6367608751756,2425.35158715248,5.52567935824836,97.4891155985171
0.5,61.2,-29.6449596636027,-0.633624311963724,2427.34862200561,5.52996305652713,97.493468459257
0.5,61.25,-29.7879014858741,-0.63050452758335,2429.3456573067,5.53424658956704,97.4978146201212
0.5,61.3,-29.9271270603757,-0.627402642022835,2431.34269304514,5.53852995760568,97.5021540905961
0.5,61.35,-30.062666619815,-0.624320563736027,2433.33972921037,5.54281316088024,97.5064868801577
0.5,61.4,-30.1945456320102,-0.621260931779737,2435.33676579187,5.54709619962745,97.5108129982714
0.5,61.45,-30.3227854492217,-0.618227064400275,2437.33380277921,5.5513790740836,97.5151324543924
0.5,61.5,-30.4474039173479,-0.615222913123606,2439.33084016196,5.55566178448453,97.5194452579654
0.5,61.55,-30.5684159499528,-0.61225302154593,2441.32787792978,5.55994433106566,97.5237514184246
0.5,61.6,-30.685834071011,-0.609322488139858,2443.32491607237,5.56422671406197,97.5280509451936
0.5,61.65,-30.7996689293231,-0.606436932490524,2445.32195457947,5.56850893370798,97.5323438476857
0.5,61.7,-30.9099297867593,-0.603602464459335,2447.31899344089,5.57279099023779,97.5366301353035
0.5,61.75,-31.0166249818169,-0.600825655843095,2449.31603264646,5.57707288388505,97.5409098174391
0.5,61.8,-31.1197623694044,-0.598113514155716,2451.3130721861,5.58135461488298,97.5451829034742
0.5,61.85,-31.2193497372895,-0.595473458209865,2453.31011204976,5.58563618346436,97.5494494027796
0.5,61.9,-31.3153951992619,-0.592913295218892,2455.30715222742,5.58991758986154,97.5537093247157
0.5,61.95,-31.4079075647497,-0.590441199175831,2457.30419270915,5.59419883430642,97.5579626786324
0.5,62,-31.4968966843929,-0.588065690297706,2459.30123348503,5.59847991703048,97.5622094738686
0.5,62.05,-31.582373770912,-0.585795615350424,2461.29827454522,5.60276083826474,97.5664497197529
0.5,62.1,-31.6643516945053,-0.583640128692795,2463.29531587991,5.60704159823981,97.570683425603
0.5,62.15,-31.7428452519678,-0.581608673898579,2465.29235747935,5.61132219718587,97.5749106007261
0.5,62.2,-31.8178714087348,-0.579710965833148,2467.28939933383,5.61560263533262,97.5791312544186
0.5,62.25,-31.8894495131187,-0.577956973076908,2469.28644143368,5.61988291290938,97.5833453959661
0.5,62.3,-31.9576014821134,-0.576356900601273,2471.28348376931,5.62416303014501,97.5875530346437
0.5,62.35,-32.0223519582905,-0.574921172615232,2473.28052633114,5.62844298726793,97.5917541797154
0.5,62.4,-32.0837284374905,-0.573660415511359,2475.27756910967,5.63272278450614,97.5959488404348
0.5,62.45,-32.1417613672223,-0.572585440849886,2477.27461209542,5.6370024220872,97.6001370260444
0.5,62.5,-32.1964842159125,-0.571707228328367,2479.27165527897,5.64128190023826,97.6043187457763
