"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,57,-20.0094992139951,-1.01067879445348,2260.13507127655,6.15957918196316,38.6613034279578
0.5,57.05,-20.0255508535013,-1.00088090506908,2262.1179605682,6.16419026782785,38.6620689204739
0.5,57.1,-20.0400001124592,-0.991507600925212,2264.10085265363,6.16880083346193,38.6628364635721
0.5,57.15,-20.0527099335669,-0.982550072157479,2266.08374753755,6.17341087896597,38.6636060620531
0.5,57.2,-20.0635485267517,-0.973999589096082,2268.06664522463,6.17802040443904,38.6643777207282
0.5,57.25,-20.072389316932,-0.965847527478826,2270.04954571956,6.1826294099787,38.6651514444193
0.5,57.3,-20.0791108616084,-0.958085393690184,2272.03244902705,6.18723789568101,38.6659272379592
0.5,57.35,-20.0835967415257,-0.950704850027836,2274.0153551518,6.19184586164055,38.6667051061912
0.5,57.4,-20.0857354273914,-0.943697740007109,2275.99826409851,6.19645330795038,38.6674850539694
0.5,57.45,-20.0854201253767,-0.937056113723239,2277.98117587187,6.20106023470209,38.6682670861587
0.5,57.5,-20.0825486038593,-0.930772253302035,2279.96409047662,6.20566664198577,38.6690512076349
0.5,57.55,-20.0770230036133,-0.924838698481175,2281.94700791744,6.21027252989003,38.6698374232843
0.5,57.6,-20.0687496333959,-0.91924827237711,2283.92992819907,6.21487789850198,38.6706257380041
0.5,57.65,-20.0576387526476,-0.913994107506825,2285.91285132623,6.21948274790726,38.6714161567026
0.5,57.7,-20.0436043427924,-0.909069672149255,2287.89577730363,6.22408707819001,38.6722086842987
0.5,57.75,-20.0265638684201,-0.904468797148751,2289.87870613601,6.22869088943291,38.6730033257222
0.5,57.8,-20.0064380294314,-0.900185703282373,2291.86163782809,6.23329418171714,38.673800085914
0.5,57.85,-19.9831505050509,-0.896215029334698,2293.8445723846,6.23789695512243,38.6745989698257
0.5,57.9,-19.9566276904457,-0.892551861048373,2295.8275098103,6.24249920972701,38.6753999824199
0.5,57.95,-19.9267984265342,-0.889191761146353,2297.81045010991,6.24710094560765,38.6762031286703
0.5,58,-19.89359372343,-0.886130800653288,2299.79339328818,6.25170216283965,38.6770084135614
0.5,58.05,-19.8569464778381,-0.883365591779197,2301.77633934985,6.25630286149684,38.6778158420889
0.5,58.1,-19.8167911845986,-0.880893322669478,2303.75928829969,6.26090304165158,38.6786254192595
0.5,58.15,-19.7730636424641,-0.878711794371995,2305.74224014244,6.26550270337477,38.6794371500908
