"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,37,-21.7713518785809,-1.68860009531448,1301.96795128285,3.04387846228804,114.37180811073
0.5,37.05,-21.7108120271286,-1.69388145117503,1303.92098731213,3.04838844756819,114.409787681665
0.5,37.1,-21.647976035222,-1.69849942844928,1305.87435905796,3.05289771857545,114.447803944276
0.5,37.15,-21.5833759501597,-1.70239459976157,1307.82806536872,3.05740627322393,114.485856517018
0.5,37.2,-21.5175258960892,-1.70551009714565,1309.78210509538,3.06191410947277,114.523945018322
0.5,37.25,-21.4509212267113,-1.70779206645363,1311.73647709151,3.06642122532575,114.562069066656
0.5,37.3,-21.384037914448,-1.70919014531024,1313.69118021327,3.07092761883081,114.600228280567
0.5,37.35,-21.3173320952394,-1.70965796030159,1315.64621331942,3.07543328807959,114.63842227874
0.5,37.4,-21.2512397076598,-1.70915363777394,1317.60157527135,3.07993823120706,114.676650680049
0.5,37.45,-21.1861761819316,-1.70764032123803,1319.55726493308,3.084442446391,114.714913103604
0.5,37.5,-21.122536148878,-1.70508668696991,1321.51328117125,3.08894593185166,114.753209168807
0.5,37.55,-21.0606931511052,-1.70146744802525,1323.46962285514,3.09344868585128,114.791538495397
0.5,37.6,-21.0009993489232,-1.69676383560633,1325.42628885669,3.09795070669369,114.829900703507
0.5,37.65,-20.9437852218752,-1.69096404561319,1327.38327805047,3.10245199272389,114.868295413706
0.5,37.7,-20.8893592733618,-1.68406363735411,1329.34058931375,3.10695254232765,114.906722247052
0.5,37.75,-20.8380077508514,-1.67606587086929,1331.29822152644,3.11145235393108,114.945180825139
0.5,37.8,-20.7899943976425,-1.66698196921614,1333.25617357112,3.11595142600025,114.983670770146
0.5,37.85,-20.7455602541952,-1.65683129244908,1335.21444433308,3.12044975704079,115.022191704885
0.5,37.9,-20.7049235277729,-1.64564141095894,1337.17303270028,3.12494734559747,115.060743252843
0.5,37.95,-20.6682795486418,-1.63344806735521,1339.13193756339,3.12944419025383,115.099325038236
0.5,38,-20.6358008295017,-1.62029501818721,1341.09115781575,3.13394028963179,115.137936686047
0.5,38.05,-20.6076372423167,-1.6062337494852,1343.05069235345,3.13843564239127,115.176577822076
0.5,38.1,-20.5839163234576,-1.59132306329992,1345.01054007526,3.14293024722979,115.215248072982
0.5,38.15,-20.5647437142479,-1.57562853603111,1346.97069988268,3.14742410288212,115.253947066329
0.5,38.2,-20.5502037398385,-1.55922185323084,1348.93117067995,3.15191720811988,115.292674430627
0.5,38.25,-20.540360125026,-1.54218002958234,1350.89195137403,3.1564095617512,115.331429795374
0.5,38.3,-20.5352568413909,-1.52458452670372,1352.8530408746,3.16090116262034,115.370212791102
0.5,38.35,-20.5349190761571,-1.50652028511321,1354.8144380941,3.16539200960733,115.409023049414
0.5,38.4,-20.5393543096312,-1.48807468992269,1356.77614194772,3.16988210162759,115.447860203026
0.5,38.45,-20.548553485112,-1.46933649242036,1358.73815135338,3.17437143763162,115.486723885808
0.5,38.5,-20.5624922528641,-1.45039471151189,1360.70046523178,3.17886001660462,115.525613732821
0.5,38.55,-20.5811322681921,-1.43133753990333,1362.66308250637,3.18334783756615,115.564529380358
0.5,38.6,-20.6044225228481,-1.41225127986878,1364.62600210336,3.18783489956979,115.603470465979
0.5,38.65,-20.6323006889363,-1.39321933244959,1366.58922295175,3.19232120170278,115.642436628551
0.5,38.7,-20.6646944551027,-1.37432126202894,1368.55274398328,3.19680674308572,115.681427508283
0.5,38.75,-20.7015228360188,-1.35563195552294,1370.5165641325,3.20129152287218,115.720442746762
0.5,38.8,-20.7426974379009,-1.33722089207217,1372.48068233674,3.20577554024845,115.759481986986
0.5,38.85,-20.7881236649303,-1.31915153528782,1374.4450975361,3.21025879443313,115.798544873403
0.5,38.9,-20.8377018538385,-1.3014808560026,1376.40980867347,3.21474128467687,115.837631051939
0.5,38.95,-20.8913283264834,-1.28425898930232,1378.37481469455,3.219223010262,115.876740170034
0.5,39,-20.9488963528509,-1.26752902556408,1380.34011454784,3.22370397050227,115.915871876675
0.5,39.05,-21.0102970194891,-1.25132693147473,1382.30570718462,3.22818416474247,115.955025822423
0.5,39.1,-21.0754200008229,-1.2356815936904,1384.27159155898,3.23266359235818,115.994201659449
0.5,39.15,-21.1441542330506,-1.22061497503133,1386.23776662784,3.23714225275542,116.03339904156
0.5,39.2,-21.2163884923388,-1.20614237095012,1388.2042313509,3.24162014537036,116.072617624228
0.5,39.25,-21.292011880778,-1.19227275249395,1390.1709846907,3.24609726966905,116.111857064622
0.5,39.3,-21.3709142250169,-1.17900918109242,1392.13802561257,3.25057362514706,116.151117021631
0.5,39.35,-21.4529863936577,-1.16634928020201,1394.10535308468,3.25504921132923,116.190397155895
0.5,39.4,-21.5381205403728,-1.15428574906328,1396.07296607801,3.25952402776938,116.229697129829
0.5,39.45,-21.6262102803109,-1.14280690449601,1398.04086356638,3.26399807404999,116.269016607648
0.5,39.5,-21.7171508077147,-1.13189723768258,1400.00904452641,3.26847134978194,116.308355255392
0.5,39.55,-21.8108389628025,-1.12153797417702,1401.97750793758,3.27294385460423,116.347712740953
0.5,39.6,-21.9071732558998,-1.11170762683849,1403.94625278218,3.27741558818367,116.387088734091
0.5,39.65,-22.00605385657,-1.10238253294063,1405.91527804534,3.28188655021465,116.426482906466
0.5,39.7,-22.1073825551179,-1.09353736828004,1407.88458271502,3.28635674041881,116.465894931651
0.5,39.75,-22.2110627033555,-1.08514563263948,1409.85416578203,3.29082615854482,116.505324485159
0.5,39.8,-22.3169991409469,-1.07718010240614,1411.82402624,3.29529480436808,116.544771244461
0.5,39.85,-22.4250981130195,-1.06961324746876,1413.79416308542,3.29976267769046,116.584234889004
0.5,39.9,-22.5352671840628,-1.06241761069672,1415.7645753176,3.30422977834007,116.623715100235
0.5,39.95,-22.6474151524477,-1.0555661493267,1417.73526193872,3.30869610617093,116.663211561613
0.5,40,-22.7614519692187,-1.04903253844435,1419.70622195379,3.31316166106279,116.702723958631
0.5,40.05,-22.8772886641364,-1.04279143745386,1421.67745437066,3.31762644292081,116.742251978831
0.5,40.1,-22.9948372813083,-1.03681872098374,1423.64895820003,3.32209045167537,116.78179531182
0.5,40.15,-23.1140108261389,-1.03109167609692,1425.62073245545,3.32655368728177,116.821353649287
0.5,40.2,-23.2347232247676,-1.02558916797037,1427.59277615334,3.33101614971999,116.860926685016
0.5,40.25,-23.3568892966578,-1.02029177640027,1429.56508831293,3.33547783899448,116.900514114901
0.5,40.3,-23.4804247405411,-1.01518190558868,1431.53766795632,3.3399387551339,116.940115636959
0.5,40.35,-23.605246133528,-1.01024386969309,1433.51051410848,3.34439889819086,116.979730951344
0.5,40.4,-23.7312709428552,-1.00546395658445,1435.4836257972,3.34885826824172,117.019359760359
0.5,40.45,-23.858417549458,-1.00083047217676,1437.45700205313,3.35331686538631,117.059001768464
0.5,40.5,-23.9866052823354,-0.996333767572953,1439.4306419098,3.35777468974776,117.098656682294
0.5,40.55,-24.115754462497,-0.991966251128392,1441.40454440355,3.36223174147221,117.138324210663
0.5,40.6,-24.2457864551657,-0.987722387373511,1443.3787085736,3.36668802072864,117.178004064576
0.5,40.65,-24.3766237288287,-0.983598684567518,1445.35313346201,3.37114352770859,117.217695957237
0.5,40.7,-24.5081899196982,-0.979593672482873,1447.32781811372,3.37559826262598,117.257399604062
0.5,40.75,-24.6404099001413,-0.975707871848576,1449.30276157648,3.38005222571688,117.297114722681
0.5,40.8,-24.7732098496739,-0.971943756714083,1451.27796290093,3.38450541723927,117.336841032948
0.5,40.85,-24.9065173271721,-0.968305710836549,1453.25342114054,3.38895783747286,117.376578256948
0.5,40.9,-25.0402613430347,-0.964799979044799,1455.22913535164,3.39340948671887,117.416326119003
0.5,40.95,-25.1743724301281,-0.961434614394641,1457.20510459341,3.3978603652998,117.456084345679
0.5,41,-25.3087827124573,-0.958219421802863,1459.18132792789,3.40231047355923,117.495852665788
0.55,37,-22.789193322389,-1.42693777296051,1316.30122500131,3.06141872929613,113.479813376234
0.55,37.05,-22.7415308193349,-1.41982243509375,1318.26663314421,3.06585202855357,113.513930049162
0.55,37.1,-22.6962384994989,-1.41225776517736,1320.23231330069,3.07028462204581,113.54804869471
0.55,37.15,-22.6536691466529,-1.40424474394323,1322.1982644489,3.07471651025213,113.582169007137
0.55,37.2,-22.6141742831423,-1.39578519433421,1324.16448557036,3.07914769366149,113.616290682917
0.55,37.25,-22.5781003514489,-1.38688183446307,1326.13097564998,3.08357817277266,113.650413420731
0.55,37.3,-22.5457847106256,-1.37753833151515,1328.09773367607,3.0880079480943,113.684536921448
0.55,37.35,-22.5175515277989,-1.36775935637959,1330.06475864031,3.09243702014513,113.718660888117
0.55,37.4,-22.4937076568306,-1.35755063875501,1332.03204953773,3.09686538945401,113.752785025947
0.55,37.45,-22.474538605343,-1.34691902243201,1333.99960536677,3.10129305656004,113.7869090423
0.55,37.5,-22.4603046967071,-1.33587252040591,1335.96742512919,3.10572002201269,113.821032646676
0.55,37.55,-22.4512375345023,-1.32442036941907,1337.93550783015,3.1101462863719,113.855155550698
0.55,37.6,-22.447536872852,-1.31257308347243,1339.90385247813,3.11457185020816,113.889277468101
0.55,37.65,-22.4493679867181,-1.30034250577974,1341.87245808497,3.11899671410265,113.923398114721
0.55,37.7,-22.456859621885,-1.28774185856636,1343.84132366586,3.12342087864728,113.957517208477
0.55,37.75,-22.4701025855708,-1.27478579003604,1345.81044823933,3.12784434444484,113.991634469363
0.55,37.8,-22.4891490163376,-1.26149041774574,1347.77983082722,3.13226711210906,114.025749619433
0.55,37.85,-22.51401234751,-1.24787336753845,1349.74947045474,3.13668918226468,114.05986238279
0.55,37.9,-22.5446679531286,-1.23395380709065,1351.71936615039,3.1411105555476,114.093972485571
0.55,37.95,-22.5810544411013,-1.21975247303273,1353.689516946,3.1455312326049,114.128079655938
0.55,38,-22.6230755361364,-1.20529169050195,1355.65992187671,3.14995121409494,114.162183624063
0.55,38.05,-22.6706024764959,-1.19059538388775,1357.63057998097,3.15437050068747,114.196284122118
0.55,38.1,-22.7234768345264,-1.17568907743355,1359.60149030053,3.15878909306366,114.230380884259
0.55,38.15,-22.7815136618694,-1.16059988426967,1361.57265188045,3.16320699191621,114.264473646619
0.55,38.2,-22.8445048563526,-1.14535648237365,1363.54406376905,3.1676241979494,114.298562147293
0.55,38.25,-22.912222648602,-1.12998907589261,1365.51572501798,3.17204071187918,114.332646126324
0.55,38.3,-22.9844231118234,-1.11452934022203,1367.48763468214,3.17645653443321,114.366725325696
0.55,38.35,-23.0608496071924,-1.09901034922597,1369.45979181971,3.18087166635096,114.40079948932
0.55,38.4,-23.1412360889355,-1.08346648301012,1371.43219549214,3.18528610838375,114.43486836302
0.55,38.45,-23.2253102065084,-1.06793331473249,1373.40484476416,3.18969986129481,114.468931694525
0.55,38.5,-23.3127961553391,-1.05244747506357,1375.37773870374,3.19411292585937,114.502989233455
0.55,38.55,-23.4034172415867,-1.03704649309956,1377.3508763821,3.19852530286468,114.53704073131
0.55,38.6,-23.4968981395868,-1.02176861279571,1379.32425687373,3.20293699311008,114.571085941459
0.55,38.65,-23.5929668326042,-1.00665258433104,1381.29787925634,3.20734799740707,114.605124619128
0.55,38.7,-23.6913562378561,-0.991737430246598,1383.27174261089,3.21175831657932,114.639156521389
0.55,38.75,-23.7918055253375,-0.977062186720052,1385.24584602155,3.21616795146277,114.673181407151
0.55,38.8,-23.8940611467197,-0.962665620951595,1387.22018857574,3.22057690290565,114.707199037142
0.55,38.85,-23.9978775955881,-0.948585926334888,1389.19476936408,3.22498517176852,114.741209173906
0.55,38.9,-24.103017923672,-0.934860397863682,1391.1695874804,3.22939275892433,114.775211581787
0.55,38.95,-24.209254039703,-0.921525091064595,1393.14464202175,3.23379966525847,114.80920602692
0.55,39,-24.3163668183327,-0.908614468627691,1395.11993208838,3.23820589166878,114.843192277219
0.55,39.05,-24.4241460463884,-0.896161039800078,1397.09545678372,3.24261143906561,114.877170102366
0.55,39.1,-24.532390232853,-0.884194998478523,1399.07121521439,3.24701630837185,114.911139273801
0.55,39.15,-24.6409063075309,-0.872743866743018,1401.04720649022,3.25142050052298,114.945099564712
0.55,39.2,-24.7495092315852,-0.861832151267978,1403.02342972417,3.25582401646709,114.979050750022
0.55,39.25,-24.8580215411357,-0.851481020582196,1404.9998840324,3.2602268571649,115.01299260638
0.55,39.3,-24.9662728430357,-0.841708011472721,1406.97656853424,3.26462902358983,115.046924912152
0.55,39.35,-25.074099279861,-0.832526772896052,1408.95348235216,3.26903051672797,115.080847447405
0.55,39.4,-25.1813429791454,-0.82394685553248,1410.93062461178,3.27343133757817,115.114759993905
0.55,39.45,-25.2878515000076,-0.815973554567703,1412.90799444188,3.27783148715202,115.148662335097
0.55,39.5,-25.3934772885756,-0.808607812396148,1414.88559097437,3.2822309664739,115.182554256102
0.55,39.55,-25.4980771520379,-0.801846186715924,1416.86341334428,3.28662977658099,115.216435543706
0.55,39.6,-25.601511759742,-0.795680887949781,1418.8414606898,3.29102791852329,115.250305986346
0.55,39.65,-25.7036451785088,-0.790099888123687,1420.81973215221,3.29542539336364,115.284165374102
0.55,39.7,-25.8043444482293,-0.785087101328781,1422.79822687591,3.29982220217776,115.318013498687
0.55,39.75,-25.9034792028452,-0.780622633764774,1424.77694400841,3.30421834605423,115.351850153439
0.55,39.8,-26.0009213409518,-0.776683099208076,1426.75588270032,3.30861382609454,115.385675133308
0.55,39.85,-26.0965447495043,-0.77324199366814,1428.73504210536,3.31300864341306,115.419488234845
0.55,39.9,-26.1902250834109,-0.770270121093552,1430.7144213803,3.3174027991371,115.453289256198
0.55,39.95,-26.2818396031547,-0.767736060361933,1432.69401968502,3.32179629440691,115.487077997096
0.55,40,-26.3712670719751,-0.765606662517869,1434.67383618248,3.32618913037567,115.520854258844
0.55,40.05,-26.458387713536,-0.7638475663744,1436.65387003868,3.3305813082095,115.554617844309
0.55,40.1,-26.5430832304084,-0.762423720205565,1438.63412042271,3.33497282908749,115.588368557914
0.55,40.15,-26.625236883073,-0.761299897342676,1440.6145865067,3.33936369420169,115.622106205628
0.55,40.2,-26.7047336285037,-0.760441194030795,1442.59526746583,3.34375390475711,115.655830594953
0.55,40.25,-26.7814603167161,-0.759813498863503,1444.57616247832,3.34814346197175,115.689541534921
0.55,40.3,-26.855305942952,-0.759383924431871,1446.55727072543,3.35253236707657,115.723238836077
0.55,40.35,-26.9261619524268,-0.759121193417722,1448.53859139145,3.35692062131549,115.756922310476
0.55,40.4,-26.9939225937969,-0.758995973143331,1450.52012366369,3.36130822594543,115.790591771671
0.55,40.45,-27.0584853167147,-0.758981154465582,1452.50186673246,3.36569518223628,115.824247034703
0.55,40.5,-27.1197512080504,-0.759052072782313,1454.4838197911,3.37008149147088,115.857887916094
0.55,40.55,-27.177625460589,-0.759186670718894,1456.46598203595,3.37446715494506,115.891514233838
0.55,40.6,-27.2320178672716,-0.759365603714218,1458.44835266633,3.37885217396761,115.925125807388
0.55,40.65,-27.2828433333814,-0.759572291172287,1460.43093088455,3.38323654986025,115.958722457652
0.55,40.7,-27.3300223984851,-0.759792917050236,1462.41371589592,3.38762028395768,115.992304006981
0.55,40.75,-27.3734817594706,-0.760016384695415,1464.3967069087,3.39200337760754,116.025870279162
0.55,40.8,-27.4131547856859,-0.760234231417144,1466.37990313414,3.3963858321704,116.059421099407
0.55,40.85,-27.448982017014,-0.760440508692093,1468.36330378643,3.40076764901973,116.092956294346
0.55,40.9,-27.480911635723,-0.760631634075074,1470.34690808272,3.40514882954196,116.126475692017
0.55,40.95,-27.5088999031388,-0.760806220847623,1472.33071524313,3.40952937513637,116.15997912186
0.55,41,-27.5329115525904,-0.760964891218167,1474.31472449068,3.41390928721517,116.193466414704
0.6,37,-24.4012355003792,-1.10598899802568,1326.75529062813,3.05993062208712,111.487037301232
0.6,37.05,-24.4033765964486,-1.08970153223586,1328.72659054678,3.0642975637866,111.515742731697
0.6,37.1,-24.4103731110289,-1.07355774772094,1330.69812010536,3.0686639601821,111.544427966008
0.6,37.15,-24.422145057,-1.05756970997228,1332.66987843574,3.07302981236708,111.573092823076
0.6,37.2,-24.4385883075503,-1.04174944590708,1334.641864673,3.0773951214428,111.601737124319
0.6,37.25,-24.4595761797971,-1.02610891931814,1336.61407795541,3.08175988851807,111.630360693629
0.6,37.3,-24.484961280514,-1.01066000568516,1338.58651742441,3.08612411470911,111.658963357337
0.6,37.35,-24.5145775622245,-0.995414466423224,1340.5591822246,3.09048780113928,111.687544944182
0.6,37.4,-24.5482425348647,-0.980383922651205,1342.53207150377,3.09485094893894,111.71610528528
0.6,37.45,-24.5857595774548,-0.965579828569076,1344.50518441287,3.09921355924515,111.744644214085
0.6,37.5,-24.6269202955936,-0.951013444539604,1346.478520106,3.10357563320157,111.773161566365
0.6,37.55,-24.6715068738364,-0.936695809975638,1348.45207774041,3.10793717195819,111.801657180168
0.6,37.6,-24.7192943767811,-0.922637716140055,1350.4258564765,3.11229817667115,111.830130895794
0.6,37.65,-24.770052958584,-0.908849678970297,1352.39985547781,3.11665864850257,111.858582555759
0.6,37.7,-24.823549947252,-0.895341912044298,1354.37407391101,3.12101858862031,111.887012004774
0.6,37.75,-24.8795517770216,-0.882124299808589,1356.3485109459,3.12537799819779,111.91541908971
0.6,37.8,-24.9378257490918,-0.869206371192895,1358.32316575539,3.12973687841382,111.943803659573
0.6,37.85,-24.9981416076398,-0.85659727373837,1360.29803751554,3.13409523045236,111.972165565474
0.6,37.9,-25.0602729241762,-0.844305748368728,1362.27312540548,3.13845305550239,112.000504660603
0.6,37.95,-25.123998288747,-0.83234010493502,1364.24842860746,3.14281035475766,112.028820800202
0.6,38,-25.1891023111399,-0.820708198665344,1366.22394630684,3.14716712941656,112.057113841537
0.6,38.05,-25.2553764390836,-0.809417407650748,1368.19967769205,3.15152338068188,112.085383643873
0.6,38.1,-25.3226196034268,-0.798474611497642,1370.17562195462,3.15587910976068,112.11363006845
0.6,38.15,-25.3906387025027,-0.78788617127533,1372.15177828915,3.16023431786404,112.141852978454
0.6,38.2,-25.459248939382,-0.777657910884896,1374.12814589332,3.16458900620695,112.170052238995
0.6,38.25,-25.5282740265879,-0.767795099972368,1376.10472396788,3.16894317600808,112.198227717082
0.6,38.3,-25.5975462731771,-0.758302438505323,1378.08151171663,3.17329682848963,112.226379281599
0.6,38.35,-25.6669065689775,-0.749184043127407,1380.05850834643,3.17764996487712,112.254506803279
0.6,38.4,-25.736204280315,-0.740443435400215,1382.03571306719,3.18200258639925,112.282610154685
0.6,38.45,-25.8052970708346,-0.732083532036169,1384.01312509186,3.18635469428771,112.310689210184
0.6,38.5,-25.8740506601092,-0.724106637220033,1385.99074363642,3.19070628977699,112.338743845924
0.6,38.55,-25.9423385316977,-0.716514437110112,1387.96856791989,3.19505737410425,112.366773939817
0.6,38.6,-26.010041601214,-0.709307996603527,1389.9465971643,3.19940794850911,112.394779371508
0.6,38.65,-26.0770478538502,-0.702487758443037,1391.9248305947,3.20375801423348,112.422760022361
0.6,38.7,-26.1432519596919,-0.696053544736013,1393.90326743915,3.20810757252144,112.450715775437
0.6,38.75,-26.2085548741028,-0.690004560949339,1395.88190692872,3.21245662461902,112.478646515469
0.6,38.8,-26.272863429451,-0.684339402437451,1397.86074829747,3.21680517177406,112.506552128845
0.6,38.85,-26.3360899235235,-0.679056063554539,1399.83979078245,3.22115321523603,112.534432503587
0.6,38.9,-26.3981517091244,-0.674151949396209,1401.81903362368,3.22550075625592,112.562287529332
0.6,38.95,-26.458970788592,-0.669623890210813,1403.79847606419,3.22984779608599,112.590117097308
0.6,39,-26.5184734162874,-0.665468158516402,1405.77811734994,3.23419433597969,112.617921100322
0.6,39.05,-26.5765897115135,-0.661680488955844,1407.75795672988,3.23854037719146,112.645699432734
0.6,39.1,-26.6332532838021,-0.658256100920352,1409.73799345591,3.2428859209766,112.673451990443
0.6,39.15,-26.6884008720613,-0.655189723970488,1411.71822678288,3.24723096859107,112.701178670865
0.6,39.2,-26.7419719987002,-0.652475626083931,1413.69865596858,3.25157552129138,112.728879372919
0.6,39.25,-26.793908639527,-0.650107644760835,1415.67928027373,3.25591958033444,112.756553997004
0.6,39.3,-26.844154909957,-0.648079221020954,1417.66009896199,3.26026314697734,112.784202444986
0.6,39.35,-26.8926567678544,-0.646383436331349,1419.64111129994,3.2646062224773,112.811824620178
0.6,39.4,-26.9393617331616,-0.645013052510323,1421.62231655709,3.26894880809143,112.839420427323
0.6,39.45,-26.9842186243375,-0.643960554661751,1423.60371400582,3.27329090507665,112.866989772578
0.6,39.5,-27.0271773115283,-0.643218197204472,1425.58530292145,3.27763251468949,112.894532563498
0.6,39.55,-27.0681884863236,-0.642778053074136,1427.56708258218,3.28197363818597,112.922048709017
0.6,39.6,-27.1072034479011,-0.642632066189635,1429.5490522691,3.28631427682148,112.949538119434
0.6,39.65,-27.1441739053403,-0.642772107293475,1431.53121126618,3.29065443185057,112.977000706397
0.6,39.7,-27.1790517958724,-0.643190033294701,1433.51355886026,3.29499410452688,113.004436382887
0.6,39.75,-27.2117891188384,-0.643877750265005,1435.49609434106,3.29933329610295,113.031845063201
0.6,39.8,-27.2423377851438,-0.644827280262797,1437.47881700115,3.30367200783011,113.059226662939
0.6,39.85,-27.2706494820194,-0.646030832186956,1439.46172613596,3.30801024095831,113.08658109899
0.6,39.9,-27.2966755529309,-0.647480876891322,1441.44482104376,3.31234799673601,113.113908289512
0.6,39.95,-27.320366892514,-0.649170226822969,1443.42810102566,3.31668527641005,113.141208153922
0.6,40,-27.3416738564514,-0.651092120481956,1445.41156538561,3.32102208122549,113.168480612882
0.6,40.05,-27.360546186248,-0.653240312037376,1447.39521343038,3.32535841242547,113.19572558828
0.6,40.1,-27.376932948903,-0.655609166474371,1449.37904446956,3.32969427125112,113.222943003222
0.6,40.15,-27.3907824915184,-0.658193760689032,1451.36305781554,3.33402965894139,113.250132782013
0.6,40.2,-27.4020424109219,-0.660989990992837,1453.34725278354,3.33836457673293,113.277294850147
0.6,40.25,-27.4106595384219,-0.663994687535177,1455.33162869156,3.34269902585996,113.304429134292
0.6,40.3,-27.4165799398437,-0.667205736201544,1457.31618486037,3.34703300755417,113.331535562277
0.6,40.35,-27.41974893103,-0.670622208595639,1459.30092061357,3.35136652304452,113.358614063079
0.6,40.4,-27.4201111090128,-0.674244500765616,1461.28583527749,3.35569957355722,113.38566456681
0.6,40.45,-27.4176103990885,-0.678074481387531,1463.27092818126,3.3600321603155,113.412687004704
0.6,40.5,-27.4121901180456,-0.682115650171796,1465.25619865675,3.36436428453955,113.439681309105
0.6,40.55,-27.4037930538059,-0.686373307310508,1467.2416460386,3.36869594744638,113.466647413456
0.6,40.6,-27.3923615617524,-0.690854734833545,1469.22726966419,3.37302715024971,113.493585252283
0.6,40.65,-27.3778376780198,-0.695569390787954,1471.21306887364,3.37735789415981,113.520494761186
0.6,40.7,-27.3601632500249,-0.700529117196673,1473.1990430098,3.38168818038344,113.547375876827
0.6,40.75,-27.3392800845138,-0.705748362786815,1475.18519141825,3.38601801012369,113.574228536917
0.6,40.8,-27.3151301133995,-0.711244421501893,1477.17151344729,3.39034738457986,113.601052680205
0.6,40.85,-27.2876555776587,-0.717037687823406,1479.15800844792,3.39467630494737,113.627848246468
0.6,40.9,-27.2567992295531,-0.723151929920909,1481.14467577386,3.39900477241764,113.654615176497
0.6,40.95,-27.2225045534436,-0.729614581621831,1483.13151478151,3.40333278817795,113.681353412087
0.6,41,-27.184716005465,-0.736457054136765,1485.11852482997,3.40766035341135,113.708062896028
0.65,37,-26.0060429851605,-0.771439662282776,1336.56263428331,3.05729953909056,109.407862584291
0.65,37.05,-26.0423895369025,-0.759966959919314,1338.53795593935,3.06162652199896,109.430459392515
0.65,37.1,-26.0811320093273,-0.74887961246023,1340.51347472635,3.06595311407209,109.453025638695
0.65,37.15,-26.1220764056118,-0.738175244550502,1342.489189915,3.07027931637386,109.475561243894
0.65,37.2,-26.1650282402605,-0.727851215935589,1344.46510077869,3.07460512997036,109.498066132508
0.65,37.25,-26.2097938102196,-0.717904629766698,1346.44120659356,3.07893055592965,109.520540232149
0.65,37.3,-26.2561813387589,-0.708332341589865,1348.41750663848,3.08325559532161,109.542983473522
0.65,37.35,-26.304001987774,-0.699130968996524,1350.39400019501,3.08758024921768,109.565395790322
0.65,37.4,-26.3530707374719,-0.690296901910908,1352.37068654745,3.09190451869073,109.587777119122
0.65,37.45,-26.403207135265,-0.681826313487472,1354.34756498281,3.0962284048148,109.610127399279
0.65,37.5,-26.4542359180929,-0.673715171589399,1356.3246347908,3.10055190866498,109.63244657283
0.65,37.55,-26.5059875143035,-0.665959250817427,1358.30189526383,3.10487503131716,109.654734584405
0.65,37.6,-26.5582984326916,-0.658554145056417,1360.27934569701,3.10919777384789,109.67699138114
0.65,37.65,-26.6110115473294,-0.651495280505564,1362.25698538814,3.11352013733414,109.699216912585
0.65,37.7,-26.6639762874916,-0.644777929156773,1364.23481363772,3.1178421228532,109.721411130633
0.65,37.75,-26.7170487423078,-0.63839722268444,1366.21282974893,3.12216373148239,109.743573989434
0.65,37.8,-26.7700916898361,-0.63234816670891,1368.19103302763,3.12648496429897,109.765705445327
0.65,37.85,-26.8229745600804,-0.626625655395021,1370.16942278233,3.13080582237992,109.787805456766
0.65,37.9,-26.8755733411271,-0.621224486346424,1372.14799832425,3.13512630680177,109.809873984251
0.65,37.95,-26.927770437099,-0.616139375755989,1374.12675896726,3.1394464186404,109.831910990265
