"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,37,-47.2013665986593,-0.313592854861104,1318.76759530484,3.49309694408895,50.8868108216739
0.5,37.05,-47.107170433626,-0.313951455263103,1320.61090070759,3.49748766445699,50.8870012520551
0.5,37.1,-47.0168031920532,-0.314303840953115,1322.45432881134,3.50187849329081,50.8871935230383
0.5,37.15,-46.9301956869027,-0.314650568325157,1324.29787950822,3.50626943209619,50.8873876139796
0.5,37.2,-46.8472807213615,-0.314992163926103,1326.14155269073,3.5106604823637,50.8875835044016
0.5,37.25,-46.7679930660175,-0.315329124839003,1327.9853482518,3.51505164556906,50.887781173993
0.5,37.3,-46.6922694450042,-0.315661919104652,1329.82926608475,3.51944292317345,50.8879806026071
0.5,37.35,-46.6200485299151,-0.315990986180375,1331.67330608327,3.52383431662387,50.8881817702606
0.5,37.4,-46.5512709403829,-0.316316737435021,1333.51746814149,3.52822582735345,50.8883846571328
0.5,37.45,-46.4858792503066,-0.316639556679092,1335.36175215391,3.5326174567818,50.8885892435643
0.5,37.5,-46.4238179987924,-0.316959800728991,1337.20615801544,3.53700920631529,50.8887955100562
0.5,37.55,-46.3650337049572,-0.317277800004208,1339.05068562142,3.54140107734742,50.8890034372685
0.5,37.6,-46.3094748858184,-0.317593859156427,1340.89533486755,3.54579307125909,50.8892130060194
0.5,37.65,-46.2570920765672,-0.317908257729314,1342.74010564997,3.55018518941895,50.8894241972843
0.5,37.7,-46.2078378525937,-0.318221250847962,1344.58499786521,3.55457743318367,50.8896369921943
0.5,37.75,-46.1616668526954,-0.318533069936699,1346.43001141021,3.55896980389823,50.8898513720357
0.5,37.8,-46.1185358029639,-0.318843923464214,1348.27514618233,3.56336230289628,50.8900673182483
0.5,37.85,-46.0784035409018,-0.3191539977147,1350.12040207934,3.56775493150038,50.8902848124249
0.5,37.9,-46.0412310393765,-0.319463457583952,1351.9657789994,3.57214769102229,50.89050383631
0.5,37.95,-46.0069814300674,-0.319772447399097,1353.8112768411,3.57654058276332,50.8907243717987
0.5,38,-45.9756200261081,-0.320081091760881,1355.65689550344,3.5809336080145,50.8909464009357
0.5,38.05,-45.9471143436706,-0.320389496407199,1357.50263488584,3.58532676805698,50.8911699059144
0.5,38.1,-45.921434122274,-0.320697749096751,1359.34849488813,3.58972006416221,50.8913948690756
0.5,38.15,-45.8985513436377,-0.321005920511592,1361.19447541055,3.59411349759228,50.8916212729068
0.5,38.2,-45.8784402489304,-0.321314065177366,1363.04057635377,3.59850706960015,50.8918491000409
0.5,38.25,-45.8610773542945,-0.321622222400005,1364.88679761888,3.60290078142991,50.8920783332551
0.5,38.3,-45.8464414645514,-0.321930417217776,1366.73313910737,3.60729463431708,50.8923089554703
0.5,38.35,-45.8345136850161,-0.322238661367361,1368.57960072116,3.61168862948882,50.8925409497498
0.5,38.4,-45.8252774313695,-0.322546954262892,1370.4261823626,3.61608276816422,50.8927742992982
0.5,38.45,-45.8187184375539,-0.322855283986677,1372.27288393445,3.62047705155455,50.8930089874606
