"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,37,-9.86305203999821,-2.10753912001585,1298.97759109973,3.07145726022014,129.287572989735
0.5,37.05,-9.8973144302029,-2.09635332501439,1300.97090279571,3.07616861009225,129.381371835429
0.5,37.1,-9.92908017660256,-2.08619394631478,1302.96466864877,3.0808785413058,129.475439806776
0.5,37.15,-9.95832737724651,-2.07704611559851,1304.95888683351,3.08558704649586,129.569776210349
0.5,37.2,-9.98503704600088,-2.06889605220032,1306.95355552558,3.0902941183989,129.664380346586
0.5,37.25,-10.0091927112248,-2.06173119631625,1308.94867290178,3.0949997498523,129.75925150983
0.5,37.3,-10.0307800495447,-2.05554034129046,1310.94423714007,3.09970393379395,129.854388988364
0.5,37.35,-10.0497865519811,-2.05031376506193,1312.94024641962,3.10440666326185,129.949792064449
0.5,37.4,-10.0662012198555,-2.04604336091169,1314.93669892087,3.10910793139368,130.045460014358
0.5,37.45,-10.0800142880821,-2.04272276771115,1316.93359282554,3.1138077314264,130.141392108416
0.5,37.5,-10.0912169736318,-2.04034749993241,1318.93092631673,3.11850605669577,130.237587611039
0.5,37.55,-10.0998012471385,-2.03891507774257,1320.92869757892,3.12320290063598,130.334045780767
0.5,37.6,-10.1057596257948,-2.03842515756576,1322.92690479804,3.1278982567792,130.430765870307
0.5,37.65,-10.109084985863,-2.03887966356036,1324.92554616151,3.13259211875514,130.52774712657
0.5,37.7,-10.1097703932932,-2.04028292052399,1326.92461985827,3.13728448029067,130.624988790711
0.5,37.75,-10.1078089511099,-2.04264178880721,1328.92412407884,3.1419753352093,130.722490098166
0.5,37.8,-10.1031936623856,-2.04596580188802,1330.92405701536,3.14666467743083,130.820250278696
0.5,37.85,-10.0959173077755,-2.05026730733566,1332.92441686164,3.15135250097088,130.918268556421
0.5,37.9,-10.0859723367403,-2.05556161197329,1334.92520181317,3.15603879994043,131.016544149866
0.5,37.95,-10.073350771728,-2.06186713213768,1336.92641006722,3.16072356854544,131.115076272
0.5,38,-10.0580441247343,-2.06920555002992,1338.92803982283,3.16540680108635,131.213864130275
0.5,38.05,-10.0400433258033,-2.077601977258,1340.93008928089,3.17008849195767,131.31290692667
0.5,38.1,-10.0193386631743,-2.08708512678902,1342.93255664415,3.17476863564754,131.412203857729
0.5,38.15,-9.99591973492741,-2.09768749466081,1344.93544011729,3.17944722673726,131.51175411461
0.5,38.2,-9.96977541213013,-2.10944555294937,1346.93873790695,3.18412425990089,131.611556883116
0.5,38.25,-9.94089381363909,-2.1223999556546,1348.94244822177,3.18879972990477,131.71161134375
0.5,38.3,-9.9092622928766,-2.13659575935371,1350.94656927241,3.19347363160705,131.811916671749
0.5,38.35,-9.87486743706929,-2.15208266068319,1352.95109927164,3.19814595995731,131.912472037128
0.5,38.4,-9.83769507962096,-2.16891525295052,1354.95603643435,3.20281670999606,132.013276604728
0.5,38.45,-9.79773032648763,-2.18715330444848,1356.96137897758,3.2074858768543,132.114329534255
0.5,38.5,-9.75495759763782,-2.20686206135447,1358.96712512057,3.21215345575305,132.215629980326
0.5,38.55,-9.70936068491566,-2.22811257844783,1360.97327308482,3.21681944200295,132.317177092513
0.5,38.6,-9.66092282788276,-2.25098208127664,1362.97982109411,3.22148383100377,132.418970015386
0.5,38.65,-9.60962680950151,-2.2755543638572,1364.98676737451,3.22614661824393,132.52100788856
0.5,38.7,-9.55545507384069,-2.30192022650166,1366.99411015448,3.23080779930011,132.623289846737
0.5,38.75,-9.49838986833878,-2.33017795894813,1369.00184766488,3.23546736983674,132.725815019753
0.5,38.8,-9.43841341355701,-2.36043387462205,1371.00997813897,3.24012532560557,132.828582532624
0.5,38.85,-9.37550810379688,-2.39280290259343,1373.01849981252,3.24478166244521,132.93159150559
0.5,38.9,-9.30965674245256,-2.42740924462152,1375.02741092378,3.24943637628065,133.034841054161
0.5,38.95,-9.24084281652258,-2.46438710560115,1377.03670971358,3.25408946312285,133.138330289164
0.5,39,-9.16905081532336,-2.50388150675094,1379.0463944253,3.25874091906822,133.242058316789
0.5,39.05,-9.09426659913637,-2.54604919201435,1381.05646330496,3.26339074029821,133.346024238635
0.5,39.1,-9.01647782428537,-2.59105963938015,1383.06691460123,3.26803892307883,133.450227151757
0.5,39.15,-8.93567443198683,-2.63909619016003,1385.07774656548,3.27268546376018,133.554666148715
0.5,39.2,-8.85184920924652,-2.69035731067123,1387.08895745179,3.27733035877601,133.659340317615
0.5,39.25,-8.76499843109267,-2.74505800222582,1389.10054551702,3.28197360464324,133.764248742164
0.5,39.3,-8.67512259453605,-2.80343137677025,1391.11250902083,3.28661519796153,133.869390501713
0.5,39.35,-8.58222725582542,-2.86573041685674,1393.12484622569,3.29125513541275,133.974764671306
0.5,39.4,-8.48632398380825,-2.93222993972329,1395.13755539697,3.29589341376062,134.080370321728
0.5,39.45,-8.38743144348946,-3.00322878589643,1397.15063480292,3.30053002985013,134.186206519552
0.5,39.5,-8.28557662516843,-3.0790522525952,1399.16408271471,3.3051649806072,134.292272327188
0.5,39.55,-8.18079623577632,-3.16005479083401,1401.17789740652,3.3097982630381,134.398566802932
0.5,39.6,-8.07313827015458,-3.24662298180889,1403.1920771555,3.31442987422908,134.505089001015
0.5,39.65,-7.96266378090951,-3.33917880189621,1405.20662024184,3.31905981134584,134.61183797165
0.5,39.7,-7.84944886600532,-3.43818317492779,1407.2215249488,3.32368807163312,134.718812761082
0.5,39.75,-7.73358689323143,-3.54413979319382,1409.23678956275,3.32831465241421,134.826012411637
0.5,39.8,-7.61519097985399,-3.65759916175675,1411.25241237316,3.33293955109046,134.933435961773
0.5,39.85,-7.49439674382083,-3.77916277962026,1413.2683916727,3.33756276514089,135.041082446124
0.5,39.9,-7.3713653394359,-3.90948730951759,1415.28472575721,3.34218429212164,135.148950895557
0.5,39.95,-7.24628678496156,-4.04928849601642,1417.30141292577,3.34680412966559,135.257040337215
0.5,40,-7.11938358154955,-4.19934445539992,1419.31845148069,3.35142227548183,135.365349794573
0.5,40.05,-6.99091461154807,-4.36049776021593,1421.3358397276,3.35603872735524,135.473878287481
0.5,40.1,-6.86117928878784,-4.53365544728657,1423.35357597543,3.36065348314599,135.582624832221
0.5,40.15,-6.73052191306332,-4.71978564823829,1425.37165853645,3.36526654078914,135.691588441551
0.5,40.2,-6.59933615483526,-4.91990891609265,1427.39008572631,3.36987789829409,135.800768124759
0.5,40.25,-6.46806956342637,-5.13508141547877,1429.40885586408,3.3744875537442,135.910162887715
0.5,40.3,-6.33722795215648,-5.36636584145616,1431.42796727225,3.37909550529628,136.019771732916
0.5,40.35,-6.20737946693076,-5.61478408060235,1433.44741827677,3.38370175118015,136.129593659541
0.5,40.4,-6.07915809150508,-5.88124304519073,1435.46720720709,3.38830628969818,136.2396276635
0.5,40.45,-5.95326628490015,-6.16642161766762,1437.48733239617,3.3929091192248,136.349872737485
0.5,40.5,-5.83047638770568,-6.47060216557214,1439.50779218053,3.39751023820608,136.460327871022
0.5,40.55,-5.71163037979813,-6.79342491643041,1441.52858490025,3.40210964515925,136.570992050519
0.5,40.6,-5.59763753012248,-7.13353883427015,1443.54970889903,3.40670733867225,136.681864259322
0.5,40.65,-5.48946945991241,-7.48812177224337,1445.57116252416,3.41130331740325,136.792943477759
0.5,40.7,-5.38815215633464,-7.85225280067427,1447.59294412664,3.41589758008022,136.904228683199
0.5,40.75,-5.29475453732902,-8.21815437517397,1449.61505206111,3.42049012550046,137.015718850097
0.5,40.8,-5.21037329272261,-8.57440242301667,1451.63748468593,3.42508095253015,137.127412950048
