"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,37,-10.6158090125889,-2.12132710388437,1301.35426120018,3.08141978221171,127.280512289637
0.5,37.05,-10.6929574544684,-2.09161531737068,1303.34555159013,3.08610738849041,127.361604140684
0.5,37.1,-10.7688824456102,-2.06324237323161,1305.33727355698,3.09079365507219,127.442892488506
0.5,37.15,-10.8434135639274,-2.03618092572726,1307.32942538714,3.09547857634573,127.524376586289
0.5,37.2,-10.9163960300344,-2.01040331857764,1309.32200536888,3.10016214678976,127.606055683698
0.5,37.25,-10.987689615134,-1.98588173961528,1311.31501179232,3.10484436097263,127.687929026909
0.5,37.3,-11.0571675719948,-1.96258837381889,1313.30844294953,3.10952521355175,127.769995858648
0.5,37.35,-11.1247155995968,-1.940495554035,1315.30229713452,3.11420469927308,127.852255418229
0.5,37.4,-11.1902308491663,-1.91957590875414,1317.29657264328,3.11888281297066,127.934706941584
0.5,37.45,-11.2536209769413,-1.89980250637007,1319.29126777384,3.12355954956607,128.017349661309
0.5,37.5,-11.314803247051,-1.88114899541294,1321.28638082629,3.12823490406791,128.100182806691
0.5,37.55,-11.3737036863193,-1.86358974031014,1323.28191010281,3.13290887157133,128.183205603753
0.5,37.6,-11.4302562915435,-1.84709995228994,1325.27785390773,3.13758144725746,128.266417275284
0.5,37.65,-11.4844022888267,-1.8316558151028,1327.27421054752,3.14225262639297,128.349817040882
0.5,37.7,-11.536089443796,-1.81723460529259,1329.27097833087,3.14692240432953,128.433404116987
0.5,37.75,-11.5852714209917,-1.80381480680406,1331.2681555687,3.15159077650326,128.517177716919
0.5,37.8,-11.6319071903218,-1.79137621976382,1333.26574057419,3.15625773843431,128.601137050918
0.5,37.85,-11.6759604782149,-1.7799000633191,1335.26373166285,3.16092328572626,128.685281326175
0.5,37.9,-11.7173992609486,-1.7693690724617,1337.26212715249,3.16558741406568,128.769609746876
0.5,37.95,-11.7561952975558,-1.75976758880402,1339.26092536331,3.17025011922157,128.854121514238
0.5,38,-11.7923236996976,-1.75108164530911,1341.2601246179,3.17491139704491,128.938815826542
0.5,38.05,-11.8257625359334,-1.74329904500886,1343.25972324129,3.17957124346809,129.023691879176
0.5,38.1,-11.8564924678872,-1.73640943377257,1345.25971956098,3.18422965450444,129.108748864671
0.5,38.15,-11.8844964159147,-1.73040436721399,1347.26011190696,3.18888662624773,129.193985972736
0.5,38.2,-11.9097592519917,-1.72527737184786,1349.26089861174,3.19354215487164,129.2794023903
0.5,38.25,-11.9322675176764,-1.72102400062853,1351.26207801039,3.19819623662927,129.364997301547
0.5,38.3,-11.9520091651374,-1.71764188302359,1353.2636484406,3.20284886785262,129.450769887954
0.5,38.35,-11.968973319381,-1.71513076979575,1355.26560824264,3.20750004495211,129.536719328331
0.5,38.4,-11.983150059954,-1.71349257268703,1357.26795575945,3.21214976441606,129.622844798857
0.5,38.45,-11.9945302205416,-1.7127313992225,1359.27068933664,3.21679802281019,129.709145473118
0.5,38.5,-12.0031052050177,-1.71285358287629,1361.27380732256,3.22144481677712,129.795620522146
0.5,38.55,-12.0088668186412,-1.7138677088733,1363.27730806826,3.22609014303586,129.882269114456
0.5,38.6,-12.0118071132245,-1.71578463593616,1365.28118992758,3.23073399838133,129.969090416085
0.5,38.65,-12.0119182452265,-1.71861751433082,1367.28545125716,3.23537637968384,130.056083590631
0.5,38.7,-12.0091923458484,-1.72238180061805,1369.29009041644,3.24001728388859,130.143247799287
0.5,38.75,-12.0036214023279,-1.72709526958343,1371.29510576775,3.2446567080152,130.230582200886
0.5,38.8,-11.9951971497471,-1.73277802389857,1373.30049567627,3.24929464915716,130.318085951931
0.5,38.85,-11.9839109727828,-1.73945250216408,1375.3062585101,3.25393110448141,130.405758206641
0.5,38.9,-11.96975381694,-1.74714348610344,1377.31239264029,3.25856607122777,130.493598116984
