"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-8.61370713424872,-2.74313982757169,1382.00961333307,3.24456256423313,114.926029992393
0.5,37.05,-8.49078756401988,-2.82029276711125,1383.99382608293,3.2490225577968,114.96297053121
0.5,37.1,-8.36473476396893,-2.90293682376577,1385.97820754464,3.25348163623033,114.999934475325
0.5,37.15,-8.23562282741685,-2.99155158183387,1387.96275705923,3.25793979848786,115.036921635012
0.5,37.2,-8.10354661913051,-3.08666048163766,1389.94747396956,3.26239704354976,115.073931821124
0.5,37.25,-7.96862498847711,-3.18883404950705,1391.93235762031,3.26685337042248,115.1109648451
0.5,37.3,-7.8310043887947,-3.29869285108146,1393.91740735799,3.27130877813832,115.14802051896
0.5,37.35,-7.69086293039392,-3.41690988501676,1395.90262253091,3.27576326575531,115.18509865531
0.5,37.4,-7.54841488769278,-3.544212005272,1397.88800248924,3.28021683235698,115.222199067343
0.5,37.45,-7.40391566985999,-3.68137977972686,1399.87354658497,3.28466947705221,115.25932156884
0.5,37.5,-7.25766724767146,-3.82924494140445,1401.8592541719,3.28912119897506,115.296465974172
0.5,37.55,-7.11002400550231,-3.98868423967772,1403.84512460567,3.29357199728456,115.3336320983
0.5,37.6,-6.9613989547222,-4.1606080176134,1405.83115724376,3.29802187116455,115.370819756778
0.5,37.65,-6.81227020138016,-4.3459411832326,1407.81735144546,3.30247081982353,115.408028765751
0.5,37.7,-6.66318750520849,-4.54559335234852,1409.8037065719,3.30691884249443,115.445258941961
0.5,37.75,-6.51477869732426,-4.76041375874095,1411.79022198604,3.31136593843448,115.482510102743
0.5,37.8,-6.36775564017112,-4.99112500221151,1413.77689705267,3.31581210692502,115.519782066031
0.5,37.85,-6.22291931645709,-5.23822782801112,1415.76373113842,3.32025734727133,115.557074650354
0.5,37.9,-6.08116352786729,-5.50186701192679,1417.75072361173,3.32470165880243,115.594387674841
0.5,37.95,-5.94347657650567,-5.78164644249552,1419.7378738429,3.32914504087096,115.631720959222
0.5,38,-5.81094020433338,-6.07638057069739,1421.72518120403,3.33358749285295,115.669074323825
0.5,38.05,-5.68472499573284,-6.3837714718061,1423.71264506908,3.33802901414769,115.706447589581
0.5,38.1,-5.5660814286374,-6.70000941787615,1425.70026481383,3.34246960417754,115.743840578023
0.5,38.15,-5.45632581755372,-7.01931589252613,1427.68803981588,3.34690926238775,115.781253111288
