D_pth [mm],d_apad [mm],shield [],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.6,1.15,57,-28.36764173,-0.982365653,-77.85880355,152.1646656
0.1,0.6,1.15,57.05,-28.5326544,-0.948259327,-84.22685776,151.5132584
0.1,0.6,1.15,57.1,-28.86034719,-0.917530633,-90.02907131,150.8391628
0.1,0.6,1.15,57.15,-29.29765206,-0.890173909,-95.13800973,150.144504
0.1,0.6,1.15,57.2,-29.79873376,-0.866156621,-99.57674475,149.4314541
0.1,0.6,1.15,57.25,-30.33061628,-0.845418375,-103.4510955,148.7022108
0.1,0.6,1.15,57.3,-30.87254944,-0.82787024,-106.8962483,147.9589744
0.1,0.6,1.15,57.35,-31.41299621,-0.813394417,-110.0465941,147.203924
0.1,0.6,1.15,57.4,-31.94650444,-0.801844232,-113.0229783,146.4391912
0.1,0.6,1.15,57.45,-32.47124529,-0.793044459,-115.9296836,145.6668346
0.1,0.6,1.15,57.5,-32.98727334,-0.786791946,-118.8558255,144.8888116
0.1,0.6,1.15,57.55,-33.49533403,-0.782856526,-121.8782463,144.1069496
0.1,0.6,1.15,57.6,-33.99602404,-0.78098217,-125.0644983,143.3229154
0.1,0.6,1.15,57.65,-34.48915272,-0.780888381,-128.4752668,142.538182
0.1,0.6,1.15,57.7,-34.97320321,-0.782271792,-132.1658795,141.753991
0.1,0.6,1.15,57.75,-35.44483865,-0.784807983,-136.1866179,140.9713094
0.1,0.6,1.15,57.8,-35.89844738,-0.788153603,-140.5815064,140.1907758
0.1,0.6,1.15,57.85,-36.32577771,-0.791948948,-145.3852433,139.412631
0.1,0.6,1.15,57.9,-36.71578175,-0.795821491,-150.6180706,138.6366214
0.1,0.6,1.15,57.95,-37.05485665,-0.799391477,-156.278848,137.8618565
0.1,0.6,1.15,58,-37.32769902,-0.802282523,-162.3375041,137.0865824
0.1,0.6,1.15,58.05,-37.51890463,-0.804145308,-168.7292703,136.3077997
0.1,0.6,1.15,58.1,-37.61519305,-0.804718375,-175.353988,135.5205791
0.1,0.6,1.15,58.15,-37.60776111,-0.804002695,177.9167462,134.7168169
0.1,0.6,1.15,58.2,-37.49398899,-0.802807769,171.2244439,133.8832634
0.1,0.6,1.15,58.25,-37.27781505,-0.804487706,164.704169,133.0013836
0.1,0.6,1.15,58.3,-36.96861426,-0.818988558,158.4665042,132.0720585
0.1,0.6,1.15,58.35,-36.57904455,-0.856890221,152.5860885,131.2263222
0.1,0.6,1.15,58.4,-36.12264505,-0.886399665,147.0983561,130.6176138
0.1,0.6,1.15,58.45,-35.61184576,-0.881934929,142.0026588,130.007116
0.1,0.6,1.15,58.5,-35.05668363,-0.867173772,137.2683466,129.2620494
0.1,0.6,1.15,58.55,-34.46419308,-0.856079951,132.8406178,128.4223646
0.1,0.6,1.15,58.6,-33.83828152,-0.85228768,128.6439674,127.526207
0.1,0.6,1.15,58.65,-33.17989997,-0.857329536,124.5819007,126.5968902
0.1,0.6,1.15,58.7,-32.48741829,-0.872408678,120.5317787,125.6543684
0.1,0.6,1.15,58.75,-31.75729812,-0.898236763,116.3331192,124.7205814
0.1,0.6,1.15,58.8,-30.98550668,-0.934545657,111.7664166,123.8197677
0.1,0.6,1.15,58.85,-30.17089793,-0.979740951,106.517924,122.9756371
0.1,0.6,1.15,58.9,-29.32365554,-1.030915344,100.1264121,122.207098
0.1,0.6,1.15,58.95,-28.48598148,-1.084269403,91.92317289,121.5244837
0.1,0.6,1.15,59,-27.7776546,-1.135793542,81.05266054,120.9279004
0.1,0.6,1.15,59.05,-27.46570679,-1.181949888,66.88320979,120.4082123
0.1,0.6,1.15,59.1,-27.9574811,-1.220130327,50.19664619,119.9499331
0.1,0.6,1.15,59.15,-29.52956842,-1.248810207,34.00128471,119.5346968
0.1,0.6,1.15,59.2,-32.07674404,-1.267454163,21.58564331,119.1441892
0.1,0.6,1.15,59.25,-35.37530623,-1.27629121,14.5077131,118.7620289
0.1,0.6,1.15,59.3,-39.44541176,-1.276064535,13.96627605,118.3746301
0.1,0.6,1.15,59.35,-44.61422739,-1.267818284,25.37218766,117.9713403
0.1,0.6,1.15,59.4,-49.27407004,-1.252742898,69.16243054,117.5441835
0.1,0.6,1.15,59.45,-46.40186633,-1.232075581,117.6372319,117.0874585
0.1,0.6,1.15,59.5,-42.41054574,-1.207042274,134.1159047,116.5973375
0.1,0.6,1.15,59.55,-39.49674046,-1.178826264,140.1048055,116.0715327
0.1,0.6,1.15,59.6,-37.2330893,-1.148551274,142.4383402,115.5090447
0.1,0.6,1.15,59.65,-35.35022338,-1.117270651,142.7846219,114.9099832
0.1,0.6,1.15,59.7,-33.73844419,-1.085957588,141.6020671,114.2754359
0.1,0.6,1.15,59.75,-32.37769772,-1.055494022,139.1291796,113.6073633
0.1,0.6,1.15,59.8,-31.28372488,-1.026657761,135.7354839,112.9084961
0.1,0.6,1.15,59.85,-30.46037108,-1.000108732,131.9666297,112.1822208
0.1,0.6,1.15,59.9,-29.87450081,-0.976375997,128.3728128,111.4324436
0.1,0.6,1.15,59.95,-29.46467803,-0.955847526,125.3165242,110.6634305
0.1,0.6,1.15,60,-29.16591758,-0.938764581,122.9225266,109.8796271
0.1,0.6,1.15,60.05,-28.92696966,-0.925222106,121.1496643,109.085469
0.1,0.6,1.15,60.1,-28.71427772,-0.915175789,119.8844058,108.285194
0.1,0.6,1.15,60.15,-28.50857456,-0.908455648,119.0021451,107.4826714
0.1,0.6,1.15,60.2,-28.29999228,-0.904785199,118.3942154,106.6812588
0.1,0.6,1.15,60.25,-28.08416645,-0.903804655,117.9747469,105.8836986
0.1,0.6,1.15,60.3,-27.85970941,-0.905096259,117.6789211,105.0920554
0.1,0.6,1.15,60.35,-27.62673455,-0.908209824,117.4587178,104.3076982
0.1,0.6,1.15,60.4,-27.3860487,-0.912686723,117.2786699,103.5313206
0.1,0.6,1.15,60.45,-27.1387332,-0.918080984,117.112403,102.7629948
0.1,0.6,1.15,60.5,-26.8859398,-0.923976613,116.940044,102.0022485
0.1,0.6,1.15,60.55,-26.62880099,-0.930000747,116.7463628,101.2481577
0.1,0.6,1.15,60.6,-26.36839935,-0.935832654,116.5194704,100.4994468
0.1,0.6,1.15,60.65,-26.10576569,-0.941208902,116.2499229,99.75458811
0.1,0.6,1.15,60.7,-25.84189013,-0.945925249,115.9301156,99.01189631
0.1,0.6,1.15,60.75,-25.57773758,-0.949835856,115.5538833,98.26961456
0.1,0.6,1.15,60.8,-25.31426324,-0.952850481,115.1162491,97.52598928
0.1,0.6,1.15,60.85,-25.05242596,-0.954930235,114.6132781,96.77933341
0.1,0.6,1.15,60.9,-24.79319795,-0.956082434,114.0420089,96.02807811
0.1,0.6,1.15,60.95,-24.53757022,-0.956354936,113.4004408,95.27081354
0.1,0.6,1.15,61,-24.28655337,-0.955830308,112.6875596,94.5063199
0.1,0.6,1.15,61.05,-24.04117305,-0.954620041,111.9033902,93.73358999
0.1,0.6,1.15,61.1,-23.80246025,-0.952858983,111.0490616,92.95184444
0.1,0.6,1.15,61.15,-23.57143615,-0.950700069,110.1268753,92.16054094
0.1,0.6,1.15,61.2,-23.3490918,-0.948309424,109.1403643,91.35937835
0.1,0.6,1.15,61.25,-23.13636325,-0.945861845,108.0943324,90.54829675
0.1,0.6,1.15,61.3,-22.93410293,-0.943536671,106.9948646,89.72747389
0.1,0.6,1.15,61.35,-22.74304881,-0.941514028,105.849299,88.89731893
0.1,0.6,1.15,61.4,-22.56379291,-0.939971437,104.6661551,88.05846363
0.1,0.6,1.15,61.45,-22.39675129,-0.93908077,103.4550161,87.21175152
0.1,0.6,1.15,61.5,-22.24213763,-0.939005524,102.2263674,86.35822525
0.1,0.6,1.15,61.55,-22.09994243,-0.939898437,100.9913961,85.49911231
0.1,0.6,1.15,61.6,-21.96991962,-0.941899394,99.76176431,84.6358095
0.1,0.6,1.15,61.65,-21.85158168,-0.94513366,98.54936875,83.76986601
0.1,0.6,1.15,61.7,-21.74420382,-0.94971041,97.36610272,82.90296564
0.1,0.6,1.15,61.75,-21.64683685,-0.955721576,96.22363704,82.03690815
0.1,0.6,1.15,61.8,-21.55832793,-0.963240988,95.13323393,81.17358992
0.1,0.6,1.15,61.85,-21.47734742,-0.972323838,94.10560561,80.3149844
0.1,0.6,1.15,61.9,-21.40242021,-0.983006431,93.15082489,79.46312224
0.1,0.6,1.15,61.95,-21.33195944,-0.995306238,92.27829105,78.62007164
0.1,0.6,1.15,62,-21.26430077,-1.009222224,91.49675033,77.78791904
0.1,0.6,1.15,62.05,-21.19773585,-1.024735449,90.81436683,76.96875038
0.1,0.6,1.15,62.1,-21.13054377,-1.041809902,90.23883787,76.16463333
0.1,0.6,1.15,62.15,-21.06102013,-1.060393555,89.77754636,75.37760045
0.1,0.6,1.15,62.2,-20.98750354,-1.080419607,89.4377427,74.60963372
0.1,0.6,1.15,62.25,-20.90840016,-1.10180788,89.22674938,73.86265048
0.1,0.6,1.15,62.3,-20.82220705,-1.124466328,89.15218192,73.13849092
0.1,0.6,1.15,62.35,-20.72753566,-1.148292643,89.22218132,72.43890723
0.1,0.6,1.15,62.4,-20.62313718,-1.173175897,89.44565316,71.7655544
0.1,0.6,1.15,62.45,-20.50793168,-1.198998205,89.8325091,71.11998281
0.1,0.6,1.15,62.5,-20.38104349,-1.22563637,90.39390505,70.5036324
0.1,0.6,1.15,62.55,-20.24184573,-1.252963484,91.14246767,69.91782852
0.1,0.6,1.15,62.6,-20.0900171,-1.280850453,92.09249609,69.36377932
0.1,0.6,1.15,62.65,-19.92561465,-1.309167432,93.26011774,68.84257451
0.1,0.6,1.15,62.7,-19.7491662,-1.337785158,94.66336485,68.35518551
0.1,0.6,1.15,62.75,-19.56178572,-1.366576147,96.32212118,67.90246663
0.1,0.6,1.15,62.8,-19.36531352,-1.395415776,98.25786509,67.48515746
0.1,0.6,1.15,62.85,-19.1624795,-1.424183219,100.4931072,67.10388593
0.1,0.6,1.15,62.9,-18.95708161,-1.452762252,103.0503917,66.75917227
0.1,0.6,1.15,62.95,-18.75416025,-1.481041924,105.9507104,66.45143348
0.1,0.6,1.15,63,-18.56013357,-1.508917095,109.2111917,66.18098827
0.1,0.6,1.2,57,-20.81449126,-1.106497693,-111.6448508,-27.79701708
0.1,0.6,1.2,57.05,-20.47645367,-1.063998919,-114.6963243,-28.40264934
0.1,0.6,1.2,57.1,-20.26010201,-1.025352094,-117.9100078,-29.03908235
0.1,0.6,1.2,57.15,-20.14831265,-0.990624091,-121.0018725,-29.70385782
0.1,0.6,1.2,57.2,-20.11170393,-0.959848298,-123.8130194,-30.39438207
0.1,0.6,1.2,57.25,-20.12142829,-0.933021548,-126.2985695,-31.10795108
0.1,0.6,1.2,57.3,-20.15543708,-0.91010139,-128.4833526,-31.84177956
0.1,0.6,1.2,57.35,-20.19933338,-0.891003748,-130.4214077,-32.59303385
0.1,0.6,1.2,57.4,-20.2448064,-0.875601039,-132.1713165,-33.35886858
0.1,0.6,1.2,57.45,-20.28765189,-0.863720778,-133.7849202,-34.13646697
0.1,0.6,1.2,57.5,-20.32616687,-0.855144716,-135.3038625,-34.92308488
0.1,0.6,1.2,57.55,-20.36005016,-0.849608537,-136.7597808,-35.71609863
0.1,0.6,1.2,57.6,-20.38971275,-0.846802153,-138.1758239,-36.51305719
0.1,0.6,1.2,57.65,-20.4158682,-0.846370654,-139.5684178,-37.31173938
0.1,0.6,1.2,57.7,-20.43929939,-0.847916006,-140.9488641,-38.11021704
0.1,0.6,1.2,57.75,-20.46073149,-0.850999625,-142.324655,-38.9069259
0.1,0.6,1.2,57.8,-20.48076719,-0.855146054,-143.7005123,-39.70074574
0.1,0.6,1.2,57.85,-20.499858,-0.859848002,-145.0791958,-40.49109255
0.1,0.6,1.2,57.9,-20.51829576,-0.86457303,-146.4621336,-41.27802532
0.1,0.6,1.2,57.95,-20.5362157,-0.868771965,-147.8499194,-42.06237159
0.1,0.6,1.2,58,-20.55360555,-0.871888427,-149.2427135,-42.84587779
0.1,0.6,1.2,58.05,-20.57031772,-0.873366648,-150.6405777,-43.63139743
0.1,0.6,1.2,58.1,-20.58608297,-0.872648693,-152.0437696,-44.42315165
0.1,0.6,1.2,58.15,-20.60052435,-0.869134379,-153.4530173,-45.2271644
0.1,0.6,1.2,58.2,-20.61317113,-0.862019153,-154.8697975,-46.05220719
0.1,0.6,1.2,58.25,-20.62347266,-0.849695609,-156.2966425,-46.91249572
0.1,0.6,1.2,58.3,-20.63081274,-0.827156697,-157.7375062,-47.83788229
0.1,0.6,1.2,58.35,-20.6345259,-0.767669069,-159.1982349,-48.93100938
0.1,0.6,1.2,58.4,-20.63391847,0.081623459,-160.6872041,-47.38956751
0.1,0.6,1.2,58.45,-20.62830034,-0.977452548,-162.2162193,-49.40948194
0.1,0.6,1.2,58.5,-20.61703861,-0.934913154,-163.8018329,-50.79790066
0.1,0.6,1.2,58.55,-20.59965611,-0.929939781,-165.4673267,-51.89411157
0.1,0.6,1.2,58.6,-20.576022,-0.941541134,-167.2457721,-52.92634417
0.1,0.6,1.2,58.65,-20.5467353,-0.96538689,-169.1848675,-53.92001276
0.1,0.6,1.2,58.7,-20.51392718,-0.999483365,-171.3547363,-54.87013292
0.1,0.6,1.2,58.75,-20.48300914,-1.041852145,-173.8606043,-55.76530362
0.1,0.6,1.2,58.8,-20.46666042,-1.090109076,-176.8629744,-56.59511138
0.1,0.6,1.2,58.85,-20.49435444,-1.141576318,179.3939437,-57.35322129
0.1,0.6,1.2,58.9,-20.63588331,-1.193552852,174.5633477,-58.03831946
0.1,0.6,1.2,58.95,-21.05793981,-1.243574488,168.3087006,-58.65371495
0.1,0.6,1.2,59,-22.12824493,-1.289586774,161.1234919,-59.20623164
0.1,0.6,1.2,59.05,-24.3609433,-1.330016201,157.4651103,-59.70490959
0.1,0.6,1.2,59.1,-27.0405977,-1.363760859,168.7465304,-60.15985628
0.1,0.6,1.2,59.15,-27.05885581,-1.39013367,-170.300943,-60.58139967
0.1,0.6,1.2,59.2,-25.45619268,-1.408787843,-160.5420288,-60.97955722
0.1,0.6,1.2,59.25,-24.1196817,-1.419644649,-158.35248,-61.36376141
0.1,0.6,1.2,59.3,-23.17716868,-1.422833979,-158.6564906,-61.7427593
0.1,0.6,1.2,59.35,-22.48413903,-1.418651109,-159.7159388,-62.12460943
0.1,0.6,1.2,59.4,-21.93601985,-1.407528805,-161.0029932,-62.51671626
0.1,0.6,1.2,59.45,-21.47179647,-1.390021726,-162.3721464,-62.92586009
0.1,0.6,1.2,59.5,-21.05699464,-1.366799178,-163.8078051,-63.35819644
0.1,0.6,1.2,59.55,-20.67328958,-1.338641998,-165.3419254,-63.8192108
0.1,0.6,1.2,59.6,-20.31332545,-1.306439386,-167.0212768,-64.3136249
0.1,0.6,1.2,59.65,-19.97807027,-1.271181786,-168.8875297,-64.84525949
0.1,0.6,1.2,59.7,-19.67474717,-1.233946342,-170.9590348,-65.41686777
0.1,0.6,1.2,59.75,-19.41397251,-1.195872375,-173.2144568,-66.0299612
0.1,0.6,1.2,59.8,-19.20563263,-1.158125625,-175.5854065,-66.68465707
0.1,0.6,1.2,59.85,-19.05444892,-1.121851851,-177.966224,-67.37958069
0.1,0.6,1.2,59.9,-18.95727532,-1.088122567,179.7591219,-68.11185417
0.1,0.6,1.2,59.95,-18.90363537,-1.057877819,177.6852674,-68.8771959
0.1,0.6,1.2,60,-18.87899083,-1.031872537,175.8649157,-69.67014074
0.1,0.6,1.2,60.05,-18.86867812,-1.010633496,174.3066612,-70.48437156
0.1,0.6,1.2,60.1,-18.86067696,-0.994433069,172.9863406,-71.31313308
0.1,0.6,1.2,60.15,-18.84666119,-0.983283675,171.8624189,-72.14968318
0.1,0.6,1.2,60.2,-18.82177842,-0.976953671,170.888634,-72.98772949
0.1,0.6,1.2,60.25,-18.78385445,-0.975002145,170.0217065,-73.82180245
0.1,0.6,1.2,60.3,-18.73252274,-0.976827371,169.2248023,-74.64752805
0.1,0.6,1.2,60.35,-18.66851096,-0.981722326,168.4682948,-75.4617819
0.1,0.6,1.2,60.4,-18.59313778,-0.988930554,167.729171,-76.26272521
0.1,0.6,1.2,60.45,-18.50799184,-0.99769684,166.9899395,-77.04973847
0.1,0.6,1.2,60.5,-18.41474296,-1.007308915,166.2374938,-77.82327872
0.1,0.6,1.2,60.55,-18.3150402,-1.017128374,165.4621245,-78.58468912
0.1,0.6,1.2,60.6,-18.21046263,-1.026610699,164.6567335,-79.3359881
0.1,0.6,1.2,60.65,-18.10250004,-1.035315489,163.8162442,-80.07965966
0.1,0.6,1.2,60.7,-17.99254924,-1.042908689,162.9371742,-80.81846046
0.1,0.6,1.2,60.75,-17.8819171,-1.049158856,162.0173355,-81.55525245
0.1,0.6,1.2,60.8,-17.77182554,-1.053929386,161.0556286,-82.29286488
0.1,0.6,1.2,60.85,-17.66341559,-1.057168361,160.0519049,-83.03398574
0.1,0.6,1.2,60.9,-17.55774922,-1.058897293,159.0068729,-83.78107997
0.1,0.6,1.2,60.95,-17.45580848,-1.059199701,157.9220349,-84.53633086
0.1,0.6,1.2,61,-17.35849172,-1.058210117,156.7996379,-85.30160054
0.1,0.6,1.2,61.05,-17.26660752,-1.056103883,155.6426305,-86.07840546
0.1,0.6,1.2,61.1,-17.18086657,-1.053087892,154.454617,-86.86790364
0.1,0.6,1.2,61.15,-17.10187231,-1.049392329,153.2398052,-87.67089057
0.1,0.6,1.2,61.2,-17.03011112,-1.045263349,152.0029416,-88.48780171
0.1,0.6,1.2,61.25,-16.96594275,-1.04095663,150.7492357,-89.31871974
0.1,0.6,1.2,61.3,-16.90959184,-1.036731679,149.484271,-90.16338556
0.1,0.6,1.2,61.35,-16.86114123,-1.03284681,148.2139063,-91.02121208
0.1,0.6,1.2,61.4,-16.82052754,-1.029554685,146.9441692,-91.89130031
0.1,0.6,1.2,61.45,-16.78753954,-1.027098371,145.6811476,-92.77245757
0.1,0.6,1.2,61.5,-16.76181937,-1.025707833,144.4308812,-93.66321745
0.1,0.6,1.2,61.55,-16.74286662,-1.025596856,143.1992622,-94.56186156
0.1,0.6,1.2,61.6,-16.73004512,-1.026960356,141.9919452,-95.46644292
0.1,0.6,1.2,61.65,-16.72259182,-1.02997209,140.8142747,-96.37481085
0.1,0.6,1.2,61.7,-16.71962743,-1.034782764,139.67123,-97.28463725
0.1,0.6,1.2,61.75,-16.7201681,-1.041518545,138.5673927,-98.19344416
0.1,0.6,1.2,61.8,-16.72313744,-1.050280002,137.506935,-99.09863206
0.1,0.6,1.2,61.85,-16.72737846,-1.061141469,136.4936316,-99.99750891
0.1,0.6,1.2,61.9,-16.73166468,-1.074150841,135.5308923,-100.8873193
0.1,0.6,1.2,61.95,-16.73471017,-1.089329807,134.6218153,-101.7652735
0.1,0.6,1.2,62,-16.73517812,-1.106674488,133.7692601,-102.6285757
0.1,0.6,1.2,62.05,-16.73168778,-1.126156474,132.975937,-103.4744513
0.1,0.6,1.2,62.1,-16.72281982,-1.147724219,132.2445129,-104.3001728
0.1,0.6,1.2,62.15,-16.70712,-1.17130475,131.5777335,-105.1030835
0.1,0.6,1.2,62.2,-16.68310154,-1.196805646,130.9785597,-105.8806194
0.1,0.6,1.2,62.25,-16.6492463,-1.224117224,130.4503208,-106.6303282
0.1,0.6,1.2,62.3,-16.60400526,-1.253114881,129.9968853,-107.3498862
0.1,0.6,1.2,62.35,-16.54579881,-1.283661522,129.6228526,-108.0371117
0.1,0.6,1.2,62.4,-16.4730174,-1.315610027,129.3337689,-108.6899767
0.1,0.6,1.2,62.45,-16.38402355,-1.348805696,129.1363739,-109.3066143
0.1,0.6,1.2,62.5,-16.27715627,-1.383088615,129.0388843,-109.8853251
0.1,0.6,1.2,62.55,-16.15073953,-1.418295915,129.0513248,-110.4245798
0.1,0.6,1.2,62.6,-16.00309705,-1.454263873,129.1859157,-110.9230202
0.1,0.6,1.2,62.65,-15.83257655,-1.490829842,129.4575318,-111.3794577
0.1,0.6,1.2,62.7,-15.63758836,-1.527833971,129.8842462,-111.7928706
0.1,0.6,1.2,62.75,-15.416665,-1.565120722,130.4879736,-112.1623989
0.1,0.6,1.2,62.8,-15.16855202,-1.602540166,131.2952233,-112.4873385
0.1,0.6,1.2,62.85,-14.89234466,-1.639949059,132.3379601,-112.7671343
0.1,0.6,1.2,62.9,-14.58769103,-1.677211715,133.6545454,-113.0013721
0.1,0.6,1.2,62.95,-14.25509082,-1.714200671,135.2906731,-113.1897702
0.1,0.6,1.2,63,-13.89632685,-1.750797172,137.3001085,-113.3321708
0.1,0.6,1.25,57,-17.22077525,-1.220814422,-118.421739,-29.66454241
0.1,0.6,1.25,57.05,-16.96217953,-1.17360555,-120.6420929,-30.25413059
0.1,0.6,1.25,57.1,-16.7751912,-1.1306847,-123.0352861,-30.88035492
0.1,0.6,1.25,57.15,-16.65840755,-1.092134915,-125.431769,-31.54017517
0.1,0.6,1.25,57.2,-16.59988843,-1.057993076,-127.6988475,-32.2303774
0.1,0.6,1.25,57.25,-16.58278744,-1.028245986,-129.7638071,-32.94761569
0.1,0.6,1.25,57.3,-16.59073842,-1.002827347,-131.6094516,-33.68846022
0.1,0.6,1.25,57.35,-16.61088177,-0.981615805,-133.2552033,-34.44945067
0.1,0.6,1.25,57.4,-16.63457836,-0.964434247,-134.7375544,-35.22715397
0.1,0.6,1.25,57.45,-16.65681215,-0.95105047,-136.096391,-36.01822521
0.1,0.6,1.25,57.5,-16.67518017,-0.941179348,-137.3676885,-36.81947017
0.1,0.6,1.25,57.55,-16.68895197,-0.934486582,-138.5806986,-37.62790804
0.1,0.6,1.25,57.6,-16.69835911,-0.930594111,-139.7576293,-38.44083254
0.1,0.6,1.25,57.65,-16.70411589,-0.929087225,-140.9144443,-39.25586979
0.1,0.6,1.25,57.7,-16.70711946,-0.929523455,-142.0620152,-40.0710308
0.1,0.6,1.25,57.75,-16.70827339,-0.931443278,-143.2072648,-40.88475637
0.1,0.6,1.25,57.8,-16.70839079,-0.934382731,-144.3541614,-41.69595167
0.1,0.6,1.25,57.85,-16.7081462,-0.937888022,-145.5045344,-42.504007
0.1,0.6,1.25,57.9,-16.70805688,-0.941532273,-146.6587234,-43.30880031
0.1,0.6,1.25,57.95,-16.70848085,-0.944934583,-147.8160907,-44.11067567
0.1,0.6,1.25,58,-16.70962465,-0.947781688,-148.9754261,-44.91039012
0.1,0.6,1.25,58.05,-16.71155614,-0.949852749,-150.1352714,-45.70901919
0.1,0.6,1.25,58.1,-16.71421997,-0.951048281,-151.2941858,-46.50780945
0.1,0.6,1.25,58.15,-16.71745427,-0.951425525,-152.4509725,-47.30796546
0.1,0.6,1.25,58.2,-16.72100779,-0.951245228,-153.6048818,-48.11036297
0.1,0.6,1.25,58.25,-16.72455739,-0.951040589,-154.7558093,-48.91520114
0.1,0.6,1.25,58.3,-16.72772625,-0.951730026,-155.9045054,-49.72168044
0.1,0.6,1.25,58.35,-16.7301038,-0.954810793,-157.0528189,-50.5280213
0.1,0.6,1.25,58.4,-16.7312694,-0.962665907,-158.2040025,-51.3327727
0.1,0.6,1.25,58.45,-16.73082364,-0.978857923,-159.3631217,-52.13970605
0.1,0.6,1.25,58.5,-16.72843411,-1.007556931,-160.5376227,-52.9691329
0.1,0.6,1.25,58.55,-16.7239087,-1.049960701,-161.7381495,-53.8677572
0.1,0.6,1.25,58.6,-16.71732119,-1.098563085,-162.9797384,-54.87894571
0.1,0.6,1.25,58.65,-16.7092376,-1.14107316,-164.283587,-55.97285081
0.1,0.6,1.25,58.7,-16.70114208,-1.17409743,-165.6796687,-57.06124934
0.1,0.6,1.25,58.75,-16.69626833,-1.203347858,-167.2104941,-58.08409185
0.1,0.6,1.25,58.8,-16.70128089,-1.234556394,-168.9360295,-59.02643539
0.1,0.6,1.25,58.85,-16.72977202,-1.270165026,-170.9380631,-59.89092302
0.1,0.6,1.25,58.9,-16.80959088,-1.310217867,-173.3149776,-60.68161797
0.1,0.6,1.25,58.95,-16.99734077,-1.35355341,-176.1301368,-61.40083837
0.1,0.6,1.25,59,-17.39928777,-1.398479862,-179.1887481,-62.05012182
0.1,0.6,1.25,59.05,-18.15474356,-1.443112221,178.6245774,-62.63155188
0.1,0.6,1.25,59.1,-19.19924448,-1.485555821,-179.9458316,-63.14861538
0.1,0.6,1.25,59.15,-19.87820079,-1.524022731,-173.4646244,-63.60658681
0.1,0.6,1.25,59.2,-19.7062905,-1.556914039,-166.4312463,-64.01257911
0.1,0.6,1.25,59.25,-19.11981734,-1.582880196,-162.4641353,-64.37538535
0.1,0.6,1.25,59.3,-18.52879107,-1.60086486,-160.928369,-64.70519908
0.1,0.6,1.25,59.35,-18.03034508,-1.610135596,-160.5952689,-65.01326811
0.1,0.6,1.25,59.4,-17.61096328,-1.610303957,-160.8006747,-65.31151162
0.1,0.6,1.25,59.45,-17.24184587,-1.601336417,-161.2656716,-65.61211301
0.1,0.6,1.25,59.5,-16.90009309,-1.583556417,-161.8966009,-65.92709209
0.1,0.6,1.25,59.55,-16.57121659,-1.557636383,-162.6881369,-66.26785774
0.1,0.6,1.25,59.6,-16.24894325,-1.524577529,-163.6784514,-66.64474697
0.1,0.6,1.25,59.65,-15.93527682,-1.485674701,-164.9208965,-67.06656538
0.1,0.6,1.25,59.7,-15.64027093,-1.442463982,-166.4553481,-67.54015603
0.1,0.6,1.25,59.75,-15.37983003,-1.396652193,-168.2768042,-68.07003487
0.1,0.6,1.25,59.8,-15.17034693,-1.350029923,-170.3135806,-68.65813775
0.1,0.6,1.25,59.85,-15.02156197,-1.304372786,-172.434343,-69.3037224
0.1,0.6,1.25,59.9,-14.9318111,-1.26133869,-174.4884112,-70.00345759
0.1,0.6,1.25,59.95,-14.88896486,-1.222371039,-176.3559,-70.75170986
0.1,0.6,1.25,60,-14.87586825,-1.18861835,-177.9762981,-71.54101054
0.1,0.6,1.25,60.05,-14.87613793,-1.160879222,-179.3458166,-72.3626575
0.1,0.6,1.25,60.1,-14.87743758,-1.139578211,179.5031156,-73.2073852
0.1,0.6,1.25,60.15,-14.87208561,-1.12477363,178.5233283,-74.06602746
0.1,0.6,1.25,60.2,-14.85620124,-1.116193708,177.66722,-74.93010321
0.1,0.6,1.25,60.25,-14.82848417,-1.113294043,176.8935731,-75.79227327
0.1,0.6,1.25,60.3,-14.78917233,-1.11532738,176.1694652,-76.6466406
0.1,0.6,1.25,60.35,-14.73931731,-1.121416766,175.4697657,-77.48889178
0.1,0.6,1.25,60.4,-14.68033794,-1.130624539,174.7757772,-78.31629771
0.1,0.6,1.25,60.45,-14.61376905,-1.142011872,174.0737894,-79.1276041
0.1,0.6,1.25,60.5,-14.54113197,-1.154686047,173.3538417,-79.92284717
0.1,0.6,1.25,60.55,-14.46387528,-1.167834751,172.608766,-80.70312839
0.1,0.6,1.25,60.6,-14.38335336,-1.180748259,171.833484,-81.47037611
0.1,0.6,1.25,60.65,-14.30082368,-1.192831293,171.0245097,-82.22711497
0.1,0.6,1.25,60.7,-14.21745197,-1.203606747,170.1796065,-82.97625615
0.1,0.6,1.25,60.75,-14.13431951,-1.21271346,169.2975527,-83.72091552
0.1,0.6,1.25,60.8,-14.05242968,-1.21989998,168.3779863,-84.46426196
0.1,0.6,1.25,60.85,-13.9727123,-1.225015897,167.4212996,-85.20939478
0.1,0.6,1.25,60.9,-13.89602533,-1.22800195,166.4285684,-85.95924736
0.1,0.6,1.25,60.95,-13.82315397,-1.228879744,165.4015002,-86.71651338
0.1,0.6,1.25,61,-13.75480747,-1.227741633,164.342392,-87.4835916
0.1,0.6,1.25,61.05,-13.69161403,-1.224741091,163.2540904,-88.26254557
0.1,0.6,1.25,61.1,-13.63411436,-1.220083705,162.139949,-89.05507503
