"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,57,-29.8313003986246,-0.549286385332625,2271.13833663309,5.35315912524867,78.1791439085414
0.5,57.05,-29.6350683769408,-0.55509047278959,2273.13789699858,5.35751997999248,78.1808849378327
0.5,57.1,-29.4360374463368,-0.561746977486614,2275.13745852897,5.36188062248012,78.1826211844087
0.5,57.15,-29.2354884883873,-0.569313270210206,2277.13702121781,5.36624105296309,78.1843526562888
0.5,57.2,-29.0350416158441,-0.577839106659971,2279.13658505873,5.3706012716924,78.1860793614825
0.5,57.25,-28.8367147942251,-0.587359874773038,2281.13615004534,5.37496127891852,78.1878013079899
0.5,57.3,-28.6429790766216,-0.597887508519578,2283.13571617133,5.37932107489142,78.1895185038014
0.5,57.35,-28.4568006102487,-0.609398916156475,2285.13528343041,5.38368065986058,78.1912309568977
0.5,57.4,-28.2816543220068,-0.621822224978555,2287.1348518163,5.38804003407492,78.1929386752499
0.5,57.45,-28.1214881870086,-0.635021937841763,2289.13442132278,5.39239919778291,78.1946416668193
0.5,57.5,-27.9806115915033,-0.648785260621893,2291.13399194365,5.39675815123247,78.1963399395577
0.5,57.55,-27.8634791210785,-0.662813259905337,2293.13356367276,5.40111689467103,78.198033501407
0.5,57.6,-27.7743459377851,-0.676721719704652,2295.13313650396,5.4054754283455,78.1997223602995
0.5,57.65,-27.7167867805838,-0.690056809065298,2297.13271043116,5.4098337525023,78.2014065241576
0.5,57.7,-27.6930994741393,-0.702329002736905,2299.13228544829,5.41419186738733,78.2030860008942
0.5,57.75,-27.7036524017488,-0.713064547017599,2301.13186154931,5.41854977324599,78.2047607984122
0.5,57.8,-27.7462733714252,-0.721867733373144,2303.13143872822,5.4229074703232,78.2064309246048
0.5,57.85,-27.8157996158935,-0.728481543853704,2305.13101697906,5.42726495886334,78.2080963873555
0.5,57.9,-27.9039028242137,-0.732831996770307,2307.13059629587,5.43162223911031,78.2097571945378
0.5,57.95,-27.9992673379605,-0.735044890726765,2309.13017667275,5.43597931130752,78.2114133540156
0.5,58,-28.0881445079098,-0.735431893368603,2311.12975810383,5.44033617569786,78.2130648736429
0.5,58.05,-28.1552465391763,-0.7344524220315,2313.12934058325,5.44469283252373,78.2147117612637
0.5,58.1,-28.1848874747227,-0.73266422372369,2315.1289241052,5.44904928202703,78.2163540247124
0.5,58.15,-28.1622280497839,-0.730676746326663,2317.1285086639,5.45340552444918,78.2179916718134
0.5,58.2,-28.0744388657504,-0.729118116038766,2319.12809425358,5.45776156003109,78.2196247103812
0.5,58.25,-27.9115805313522,-0.728621481222715,2321.12768086854,5.46211738901316,78.2212531482206
0.5,58.3,-27.667035722128,-0.729832268985807,2323.12726850307,5.46647301163534,78.2228769931263
0.5,58.35,-27.3374254991649,-0.73343592551258,2325.12685715151,5.47082842813704,78.2244962528831
0.5,58.4,-26.9220734938331,-0.740206147206883,2327.12644680823,5.47518363875722,78.2261109352661
0.5,58.45,-26.4221940676356,-0.751076005876232,2329.12603746763,5.47953864373433,78.2277210480403
0.5,58.5,-25.8400329454143,-0.767238184244642,2331.12562912414,5.48389344330633,78.2293265989607
0.5,58.55,-25.1781805755396,-0.790285185162389,2333.12522177221,5.4882480377107,78.2309275957725
0.5,58.6,-24.4392483992483,-0.822404422751189,2335.12481540633,5.49260242718443,78.2325240462109
0.5,58.65,-23.6261018107214,-0.866641470640671,2337.12441002101,5.49695661196402,78.2341159580014
0.5,58.7,-22.742934440378,-0.927220594968691,2339.12400561081,5.50131059228551,78.2357033388591
0.5,58.75,-21.7976899025556,-1.00981440171888,2341.12360217029,5.50566436838444,78.2372861964895
0.5,58.8,-20.8066864563229,-1.12134871977678,2343.12319969407,5.51001794049585,78.2388645385879
0.5,58.85,-19.8025374096081,-1.26813159384602,2345.12279817678,5.51437130885399,78.2404383728397
0.5,58.9,-18.8454953774579,-1.44961573817646,2347.12239761308,5.51872447368232,78.2420077069201
0.5,58.95,-18.0332992919068,-1.64487151099619,2349.12199799762,5.52307743523622,78.2435725484947
0.5,59,-17.493196560706,-1.79890826487509,2351.12159932519,5.52743019374412,78.2451329052187
0.5,59.05,-17.3355536576155,-1.84093689211457,2353.12120159051,5.53178274942793,78.2466887847374
0.5,59.1,-17.5864364449971,-1.74776687211888,2355.12080478835,5.5361351025235,78.2482401946863
0.5,59.15,-18.1688748908636,-1.56982946467234,2357.12040891352,5.5404872532631,78.2497871426905
0.5,59.2,-18.9567089060262,-1.37588340244501,2359.12001396085,5.54483920187813,78.2513296363654
0.5,59.25,-19.8372021977371,-1.20551092646281,2361.11961992521,5.5491909485994,78.2528676833162
0.5,59.3,-20.7354454940709,-1.0693800613014,2363.11922680148,5.5535424936572,78.254401291138
0.5,59.35,-21.6101089204748,-0.964590496904772,2365.11883458457,5.55789383728136,78.255930467416
0.5,59.4,-22.4417387333105,-0.884656687452783,2367.11844326945,5.56224497970121,78.2574552197252
0.5,59.45,-23.2231969225144,-0.82341266403903,2369.11805285106,5.56659592114562,78.2589755556306
0.5,59.5,-23.9536926820679,-0.775991810842536,2371.11766332442,5.57094666184298,78.2604914826873
0.5,59.55,-24.6354505389478,-0.738796964664167,2373.11727468456,5.57529720202123,78.2620030084399
0.5,59.6,-25.2719530832144,-0.709227954548874,2375.11688692652,5.57964754190782,78.2635101404234
0.5,59.65,-25.867049999123,-0.685411465642813,2377.11650004539,5.58399768172974,78.2650128861625
